locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_02310,NE,NE,NE,NE,NA,NA,ABC transporter permease,K17214,inositol transport system permease protein,Z012_01815,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_02310,498841,499917,1077,1,0.159,0.072,0.053,0.037,0.171,0.065,0.056,0.045
R7A2020_02315,NE,NE,NE,NE,NA,NA,sugar ABC transporter ATP-binding protein,NA,NA,NA,G,ATPases associated with a variety of cellular activities,R7A2020_02315,499920,500687,768,1,0.154,0.061,0.058,0.032,0.177,0.076,0.057,0.066
R7A2020_02320,NE,NE,NE,NE,NA,NA,inositol 2-dehydrogenase,K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],idhA,S,"Oxidoreductase family, C-terminal alpha beta domain",iolG,500809,501804,996,1,0.171,0.06,0.058,0.044,0.167,0.071,0.048,0.065
R7A2020_02325,NE,NE,NE,NE,NA,NA,SDR family oxidoreductase,NA,NA,NA,IQ,Dehydrogenase,R7A2020_02325,501842,502636,795,1,0.182,0.097,0.043,0.035,0.171,0.075,0.046,0.04
R7A2020_02330,NE,NE,NE,NE,NA,NA,3-deoxy-7-phosphoheptulonate synthase,K01626,3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],aroG,E,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP),R7A2020_02330,503047,504138,1092,1,0.175,0.076,0.059,0.031,0.185,0.087,0.041,0.056
R7A2020_02335,NE,NE,NE,NE,NA,NA,LysE family translocator,NA,NA,NA,E,LysE type translocator,R7A2020_02335,504172,504807,636,-1,0.157,0.057,0.039,0.03,0.17,0.077,0.05,0.048
R7A2020_02340,NE,NE,NE,NE,NA,NA,YafY family transcriptional regulator,NA,NA,NA,K,Transcriptional regulator,R7A2020_02340,504937,505632,696,1,0.177,0.078,0.052,0.039,0.167,0.074,0.032,0.056
R7A2020_02345,NE,NE,NE,NE,NA,NA,Gfo/Idh/MocA family oxidoreductase,NA,NA,NA,S,"Oxidoreductase family, NAD-binding Rossmann fold",R7A2020_02345,505645,506754,1110,-1,0.166,0.072,0.074,0.037,0.144,0.06,0.047,0.046
R7A2020_02350,NE,NE,NE,NE,NA,NA,MurR/RpiR family transcriptional regulator,NA,NA,murR_2,K,"Helix-turn-helix domain, rpiR family",R7A2020_02350,506911,507756,846,1,0.156,0.071,0.038,0.051,0.165,0.071,0.054,0.064
R7A2020_02355,NE,NE,NE,NE,NA,NA,5-dehydro-2-deoxygluconokinase,K03338,5-dehydro-2-deoxygluconokinase [EC:2.7.1.92],iolC,G,pfkB family carbohydrate kinase,iolC,507912,509846,1935,1,0.17,0.075,0.046,0.039,0.16,0.066,0.053,0.05
R7A2020_02360,NE,NE,NE,NE,NA,NA,3D-(3,K03336,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]",iolD,E,Belongs to the TPP enzyme family,iolD,509882,511732,1851,1,0.156,0.074,0.053,0.038,0.173,0.08,0.051,0.045
R7A2020_02365,NE,NE,NE,NE,NA,NA,myo-inosose-2 dehydratase,K03335,inosose dehydratase [EC:4.2.1.44],iolE,G,Xylose isomerase-like TIM barrel,iolE,511919,512836,918,1,0.183,0.092,0.054,0.037,0.211,0.083,0.061,0.069
R7A2020_02370,NE,NE,NE,GR-GD,NA,DUFF,DUF3329 domain-containing protein,NA,NA,NA,NA,NA,R7A2020_02370,512880,513098,219,1,0.09,0.043,0.032,0.011,0.128,0.053,0.037,0.027
R7A2020_02375,NE,NE,NE,NE,NA,NA,5-deoxy-glucuronate isomerase,K03337,5-deoxy-glucuronate isomerase [EC:5.3.1.30],iolB,G,involved in inositol metabolism,iolB,513296,514108,813,1,0.172,0.064,0.059,0.055,0.15,0.061,0.056,0.053
R7A2020_02380,NE,NE,NE,NE,NA,NA,DUF1045 domain-containing protein,NA,NA,NA,P,Protein of unknown function (DUF1045),R7A2020_02380,514353,515060,708,1,0.166,0.07,0.056,0.041,0.166,0.085,0.035,0.028
R7A2020_02385,NE,NE,NE,NE,NA,NA,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,K06162,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63],phnM,P,phosphonate metabolism protein PhnM,R7A2020_02385,515097,516236,1140,1,0.211,0.096,0.072,0.04,0.2,0.088,0.06,0.062
R7A2020_02390,NE,NE,NE,NE,NA,NA,phosphonate metabolism protein/1,K05774,"ribose 1,5-bisphosphokinase [EC:2.7.4.23]",phnN,P,"Catalyzes the phosphorylation of ribose 1,5-bisphosphate to 5-phospho-D-ribosyl alpha-1-diphosphate (PRPP)",phnN,516233,516862,630,1,0.224,0.099,0.065,0.058,0.187,0.063,0.069,0.069
R7A2020_02395,NE,NE,NE,NE,NA,NA,COG4280 domain-containing protein,NA,NA,NA,S,Uncharacterized protein family UPF0016,R7A2020_02395,517032,517787,756,1,0.182,0.079,0.067,0.022,0.203,0.09,0.05,0.064
R7A2020_02400,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02400,517784,517999,216,1,0.097,0.043,0.022,0.016,0.162,0.049,0.032,0.054
R7A2020_02405,NE,NE,NE,NE,NA,NA,ABC transporter permease,NA,NA,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_02405,518096,519091,996,-1,0.19,0.077,0.068,0.044,0.166,0.073,0.054,0.061
R7A2020_02410,NE,NE,NE,NE,NA,NA,sugar ABC transporter ATP-binding protein,K02056,simple sugar transport system ATP-binding protein [EC:7.5.2.-],alsA,G,transporter,R7A2020_02410,519146,520684,1539,-1,0.174,0.084,0.053,0.033,0.173,0.076,0.044,0.05
R7A2020_02415,NE,NE,NE,NE,NA,NA,substrate-binding domain-containing protein,K10439,ribose transport system substrate-binding protein,NA,G,Periplasmic binding protein domain,R7A2020_02415,520790,521752,963,-1,0.183,0.081,0.056,0.042,0.173,0.078,0.048,0.046
R7A2020_02420,NE,NE,NE,NE,NA,NA,substrate-binding domain-containing protein,K02529,LacI family transcriptional regulator,NA,K,lacI family,R7A2020_02420,522380,523459,1080,1,0.185,0.078,0.064,0.046,0.187,0.087,0.052,0.063
R7A2020_02425,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_02425,523656,524184,529,1,0.129,0.06,0.042,0.033,0.137,0.049,0.042,0.049
R7A2020_02430,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02430,524636,524971,336,1,0.181,0.063,0.07,0.038,0.15,0.066,0.042,0.066
R7A2020_02435,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_02435,525112,525188,77,-1,0,0,0,0,0,0,0,0
R7A2020_02440,NE,NE,NE,NE,NA,NA,DUF1003 domain-containing protein,NA,NA,yejC,S,Protein of unknown function (DUF1003),R7A2020_02440,525380,526309,930,-1,0.149,0.062,0.048,0.024,0.133,0.058,0.038,0.049
R7A2020_02445,NE,NE,NE,NE,NA,NA,D-alanyl-D-alanine carboxypeptidase,K07258,serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],NA,M,Belongs to the peptidase S11 family,R7A2020_02445,526722,527636,915,-1,0.16,0.069,0.063,0.042,0.162,0.067,0.062,0.041
R7A2020_02450,NE,NE,NE,NE,NA,NA,methyl-accepting chemotaxis protein,NA,NA,NA,NT,Pfam Adenylate and Guanylate cyclase catalytic domain,R7A2020_02450,527826,529640,1815,1,0.15,0.06,0.052,0.031,0.165,0.067,0.054,0.049
R7A2020_02455,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,G,converts alpha-aldose to the beta-anomer,R7A2020_02455,529726,530826,1101,1,0.184,0.085,0.068,0.038,0.187,0.089,0.063,0.057
R7A2020_02460,NE,NE,NE,NE,NA,NA,nucleoside triphosphate hydrolase,NA,NA,NA,F,Phosphoribulokinase / Uridine kinase family,R7A2020_02460,530919,531530,612,1,0.161,0.073,0.046,0.035,0.18,0.088,0.044,0.054
R7A2020_02465,NE,NE,NE,WT-GR-ES,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02465,531624,531929,306,1,0.138,0.073,0.042,0.008,0.13,0.069,0.038,0.038
R7A2020_02470,NE,NE,NE,NE,NA,NA,glutathione S-transferase,K11209,GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-],MA20_27820,O,Belongs to the GST superfamily,R7A2020_02470,531982,532686,705,-1,0.138,0.058,0.028,0.03,0.155,0.057,0.048,0.047
R7A2020_02475,NE,NE,NE,NE,NA,NA,beta-ketoacyl-[acyl-carrier-protein] synthase family protein,K14660,nodulation protein E [EC:2.3.1.-],fabF_1,IQ,Belongs to the beta-ketoacyl-ACP synthases family,R7A2020_02475,532936,534144,1209,-1,0.136,0.047,0.056,0.052,0.147,0.052,0.062,0.047
R7A2020_02480,NE,NE,NE,NE,NA,NA,acyl carrier protein,K14661,nodulation protein F [EC:2.3.1.-],AKN40_0794,IQ,Phosphopantetheine attachment site,R7A2020_02480,534149,534403,255,-1,0.101,0.046,0.041,0.037,0.101,0.05,0.032,0.018
R7A2020_02485,NE,NE,NE,NE,NA,NA,urease accessory protein UreD,K03190,urease accessory protein,ureD,O,Required for maturation of urease via the functional incorporation of the urease nickel metallocenter,R7A2020_02485,534606,535448,843,1,0.191,0.096,0.061,0.038,0.202,0.096,0.054,0.046
R7A2020_02490,NE,NE,TY-GD,NE,NA,E,urease subunit gamma,K01430,urease subunit gamma [EC:3.5.1.5],ureA,E,Belongs to the urease gamma subunit family,R7A2020_02490,535462,535764,303,1,0.14,0.054,0.035,0.039,0.124,0.047,0.012,0.054
R7A2020_02495,NE,NE,NE,WT-GR-ES,NA,DUFF,DUF1272 domain-containing protein,K09984,uncharacterized protein,MA20_39405,S,Protein of unknown function (DUF1272),R7A2020_02495,535775,536029,255,1,0.128,0.06,0.037,0.005,0.124,0.05,0.037,0.046
R7A2020_02500,NE,NE,NE,NE,NA,NA,protein hupE,K03192,urease accessory protein,hupE,O,Hydrogenase urease accessory protein,R7A2020_02500,536060,536647,588,1,0.224,0.126,0.08,0.052,0.297,0.162,0.09,0.096
R7A2020_02505,NE,NE,NE,NE,NA,NA,urease subunit beta,K01429,urease subunit beta [EC:3.5.1.5],ureB,E,Belongs to the urease beta subunit family,R7A2020_02505,536654,536959,306,1,0.218,0.115,0.054,0.034,0.207,0.084,0.069,0.077
R7A2020_02510,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02510,537019,537513,495,-1,0.164,0.081,0.033,0.043,0.192,0.102,0.062,0.069
R7A2020_02515,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02515,537628,538020,393,-1,0.215,0.081,0.072,0.021,0.194,0.096,0.051,0.03
R7A2020_02520,NE,NE,NE,NE,NA,NA,urease subunit alpha,K01428,urease subunit alpha [EC:3.5.1.5],ureC,E,Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family,ureC,538170,539885,1716,1,0.175,0.084,0.053,0.038,0.17,0.076,0.051,0.053
R7A2020_02525,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02525,539965,540558,594,1,0.166,0.089,0.057,0.053,0.166,0.085,0.045,0.053
R7A2020_02530,NE,NE,NE,NE,NA,NA,glutathione S-transferase family protein,K00799,glutathione S-transferase [EC:2.5.1.18],NA,O,"Glutathione S-transferase, N-terminal domain",R7A2020_02530,540603,541208,606,1,0.11,0.048,0.035,0.039,0.138,0.058,0.039,0.041
R7A2020_02535,NE,NE,NE,NE,NA,NA,urease accessory protein UreE,K03187,urease accessory protein,ureE,O,Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly,ureE,541205,541795,591,1,0.187,0.089,0.076,0.044,0.207,0.093,0.066,0.072
R7A2020_02540,NE,NE,NE,NE,NA,NA,urease accessory protein UreF,K03188,urease accessory protein,ureF,O,Required for maturation of urease via the functional incorporation of the urease nickel metallocenter,R7A2020_02540,541788,542459,672,1,0.173,0.087,0.052,0.035,0.219,0.096,0.056,0.061
R7A2020_02545,NE,NE,NE,NE,NA,NA,DUF3995 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF3995),R7A2020_02545,542456,542896,441,1,0.171,0.083,0.045,0.029,0.168,0.088,0.045,0.056
R7A2020_02550,NE,NE,NE,NE,NA,NA,urease accessory protein UreG,K03189,urease accessory protein,ureG,KO,"Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG",ureG,542893,543534,642,1,0.128,0.046,0.042,0.027,0.15,0.075,0.042,0.026
R7A2020_02555,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,G,PFAM Class II Aldolase and Adducin N-terminal domain,R7A2020_02555,543621,544388,768,1,0.17,0.087,0.06,0.057,0.203,0.098,0.058,0.061
R7A2020_02560,NE,NE,NE,NE,NA,NA,HAD family phosphatase,NA,NA,NA,S,Hydrolase,R7A2020_02560,544385,545017,633,-1,0.137,0.052,0.046,0.039,0.098,0.028,0.035,0.043
R7A2020_02565,NE,NE,NE,NE,NA,NA,sugar-binding transcriptional regulator,NA,NA,ydeW,K,transcriptional regulator,R7A2020_02565,545262,546221,960,1,0.15,0.081,0.044,0.034,0.161,0.074,0.029,0.053
R7A2020_02570,NE,WT-TB-ES,NE,NE,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_02570,546283,546468,186,-1,0.069,0.013,0.038,0.013,0.101,0.044,0.019,0.019
R7A2020_02575,NE,NE,NE,NE,NA,NA,transcriptional regulator GcvA,K03566,"LysR family transcriptional regulator, glycine cleavage system transcriptional activator",gcvA,K,transcriptional regulator,gcvA,546579,547484,906,1,0.166,0.067,0.054,0.043,0.162,0.073,0.042,0.047
R7A2020_02580,NE,NE,NE,NE,NA,NA,sugar ABC transporter substrate-binding protein,K10227,sorbitol/mannitol transport system substrate-binding protein,smoE,G,ABC-type sugar transport system periplasmic component,R7A2020_02580,547688,548998,1311,1,0.189,0.091,0.065,0.053,0.183,0.076,0.059,0.065
R7A2020_02585,NE,NE,NE,NE,NA,NA,sugar ABC transporter permease,K10228,sorbitol/mannitol transport system permease protein,smoF,P,Sugar ABC transporter permease,R7A2020_02585,549122,549994,873,1,0.14,0.057,0.046,0.028,0.16,0.052,0.048,0.055
R7A2020_02590,NE,NE,NE,NE,NA,NA,carbohydrate ABC transporter permease,K10229,sorbitol/mannitol transport system permease protein,smoG,G,"ABC-type sugar transport system, permease component",R7A2020_02590,550007,550831,825,1,0.172,0.081,0.058,0.05,0.132,0.051,0.053,0.058
R7A2020_02595,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,NA,NA,smoK,P,ABC transporter,R7A2020_02595,550893,551897,1005,1,0.159,0.068,0.046,0.043,0.147,0.061,0.053,0.053
R7A2020_02600,NE,NE,NE,NE,NA,NA,L-iditol 2-dehydrogenase,K21620,galactitol 2-dehydrogenase [EC:1.1.1.16],NA,IQ,Enoyl-(Acyl carrier protein) reductase,R7A2020_02600,551894,552664,771,1,0.172,0.087,0.064,0.044,0.152,0.075,0.04,0.046
R7A2020_02605,NE,NE,NE,NE,NA,NA,mannitol dehydrogenase family protein,K00045,mannitol 2-dehydrogenase [EC:1.1.1.67],mtlK,G,Mannitol dehydrogenase,R7A2020_02605,552820,554298,1479,1,0.135,0.056,0.049,0.041,0.132,0.049,0.039,0.044
R7A2020_02610,NE,NE,NE,NE,NA,NA,HAD-IA family hydrolase,NA,NA,NA,S,"subfamily IA, variant 3 with third motif having DD or ED",R7A2020_02610,554314,554997,684,1,0.151,0.072,0.043,0.04,0.17,0.064,0.055,0.046
R7A2020_02615,NE,NE,NE,NE,NA,NA,FGGY-family carbohydrate kinase,K00875,D-ribulokinase [EC:2.7.1.47],araB,C,TIGRFAM FGGY-family pentulose kinase,R7A2020_02615,554994,556580,1587,1,0.131,0.049,0.05,0.03,0.144,0.056,0.036,0.046
R7A2020_02620,NE,NE,NE,NE,NA,NA,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,NA,NA,NA,P,ATPases associated with a variety of cellular activities,ugpC,556588,557673,1086,-1,0.172,0.066,0.063,0.035,0.155,0.064,0.048,0.048
R7A2020_02625,NE,NE,NE,NE,NA,NA,NAD(P)-dependent alcohol dehydrogenase,NA,NA,NA,E,Zinc-binding dehydrogenase,R7A2020_02625,557676,558722,1047,-1,0.138,0.053,0.053,0.039,0.154,0.065,0.044,0.043
R7A2020_02630,NE,NE,NE,NE,NA,NA,carbohydrate ABC transporter permease,NA,NA,NA,G,PFAM Binding-protein-dependent transport system inner membrane component,R7A2020_02630,558738,559550,813,-1,0.178,0.072,0.081,0.045,0.136,0.058,0.038,0.052
R7A2020_02635,NE,NE,NE,NE,NA,NA,sugar ABC transporter permease,K02027,multiple sugar transport system substrate-binding protein,NA,G,Binding-protein-dependent transport system inner membrane component,R7A2020_02635,559547,560413,867,-1,0.153,0.058,0.056,0.061,0.18,0.061,0.061,0.068
R7A2020_02640,NE,NE,NE,NE,NA,NA,extracellular solute-binding protein,K02027,multiple sugar transport system substrate-binding protein,NA,G,ABC-type sugar transport system periplasmic component,R7A2020_02640,560544,561818,1275,-1,0.158,0.061,0.054,0.039,0.137,0.055,0.054,0.042
R7A2020_02645,NE,NE,NE,NE,NA,NA,helix-turn-helix transcriptional regulator,NA,NA,rhaR_1,K,"helix_turn_helix, arabinose operon control protein",R7A2020_02645,562059,562976,918,-1,0.128,0.045,0.061,0.036,0.13,0.043,0.04,0.054
R7A2020_02650,NE,NE,NE,NE,NA,NA,MATE family efflux transporter,K03327,"multidrug resistance protein, MATE family",norM,V,multidrug,R7A2020_02650,563226,564629,1404,1,0.202,0.097,0.063,0.043,0.198,0.085,0.075,0.05
R7A2020_02655,NE,NE,NE,NE,NA,NA,cytochrome c family protein,K08738,cytochrome c,NA,C,Cytochrome c,R7A2020_02655,564652,565098,447,-1,0.15,0.068,0.045,0.045,0.163,0.087,0.068,0.055
R7A2020_02660,NE,NE,NE,NE,NA,NA,dienelactone hydrolase family protein,K01061,carboxymethylenebutenolidase [EC:3.1.1.45],NA,Q,dienelactone hydrolase,R7A2020_02660,565188,566051,864,-1,0.219,0.101,0.075,0.057,0.211,0.106,0.068,0.065
R7A2020_02665,NE,NE,NE,NE,NA,NA,AraC family transcriptional regulator,K13652,AraC family transcriptional regulator,NA,K,araC family,R7A2020_02665,566228,567112,885,1,0.181,0.077,0.073,0.045,0.197,0.084,0.061,0.057
R7A2020_02670,NE,NE,NE,NE,NA,NA,amino acid ABC transporter permease,K02029,polar amino acid transport system permease protein,NA,E,"polar amino acid ABC transporter, inner membrane subunit",R7A2020_02670,567172,567819,648,-1,0.19,0.078,0.049,0.051,0.172,0.092,0.049,0.054
R7A2020_02675,NE,NE,NE,NE,NA,NA,amino acid ABC transporter permease,K02029,polar amino acid transport system permease protein,NA,P,"polar amino acid ABC transporter, inner membrane subunit",R7A2020_02675,567816,568484,669,-1,0.198,0.1,0.047,0.044,0.2,0.089,0.053,0.053
R7A2020_02680,NE,NE,NE,NE,NA,NA,transporter substrate-binding domain-containing protein,K02030,polar amino acid transport system substrate-binding protein,NA,ET,Belongs to the bacterial solute-binding protein 3 family,R7A2020_02680,568481,569290,810,-1,0.205,0.089,0.081,0.039,0.205,0.084,0.073,0.06
R7A2020_02685,NE,NE,NE,NE,NA,NA,agmatinase,K18459,guanidinopropionase [EC:3.5.3.17],speB,E,Belongs to the arginase family,speB,569372,570433,1062,-1,0.167,0.066,0.06,0.044,0.166,0.065,0.066,0.044
R7A2020_02690,NE,NE,NE,NE,NA,NA,transcriptional regulator GcvA,K03566,"LysR family transcriptional regulator, glycine cleavage system transcriptional activator",NA,K,LysR substrate binding domain,gcvA,570643,571617,975,1,0.155,0.063,0.059,0.043,0.2,0.098,0.051,0.06
R7A2020_02695,NS-ES,NS-TB-ES,NS-TY-ES,NS-GR-ES,NA,H,nicotinate phosphoribosyltransferase,K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21],pncB,H,Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP,pncB,571752,573056,1305,1,0.128,0.054,0.049,0.022,0.006,0.002,0,0.001
R7A2020_02700,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_02700,573098,573280,183,1,0.16,0.051,0.032,0.045,0.135,0.071,0.019,0.045
R7A2020_02705,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,cobN,H,"ligase activity, forming nitrogen-metal bonds",R7A2020_02705,573311,574690,1380,1,0.184,0.088,0.064,0.037,0.179,0.091,0.05,0.049
R7A2020_02710,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,NA,NA,NA,E,"COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component",R7A2020_02710,574846,576168,1323,1,0.137,0.048,0.048,0.037,0.146,0.061,0.036,0.057
R7A2020_02715,NE,NE,NE,NE,NA,NA,branched-chain amino acid ABC transporter permease,K01997,branched-chain amino acid transport system permease protein,NA,E,Belongs to the binding-protein-dependent transport system permease family,R7A2020_02715,576327,577208,882,1,0.156,0.063,0.057,0.037,0.153,0.065,0.036,0.06
R7A2020_02720,NE,NE,NE,NE,NA,NA,branched-chain amino acid ABC transporter permease,NA,NA,NA,E,Belongs to the binding-protein-dependent transport system permease family,R7A2020_02720,577205,578167,963,1,0.194,0.078,0.081,0.053,0.2,0.078,0.073,0.07
R7A2020_02725,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K01995,branched-chain amino acid transport system ATP-binding protein,NA,E,COG0411 ABC-type branched-chain amino acid transport systems ATPase component,R7A2020_02725,578164,578889,726,1,0.183,0.081,0.066,0.04,0.176,0.066,0.06,0.074
R7A2020_02730,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K01996,branched-chain amino acid transport system ATP-binding protein,NA,E,ABC-type branched-chain amino acid transport systems ATPase component,R7A2020_02730,578886,579608,723,1,0.164,0.068,0.063,0.042,0.172,0.072,0.039,0.062
R7A2020_02735,NE,NE,NE,NE,NA,NA,sodium:proton antiporter,NA,NA,arsB,P,Putative citrate transport,R7A2020_02735,579609,581018,1410,-1,0.133,0.049,0.05,0.036,0.138,0.044,0.051,0.045
R7A2020_02740,NE,NE,NE,NE,NA,NA,bifunctional nicotinamidase/pyrazinamidase,K08281,nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-],pncA,Q,isochorismatase,pncA,581064,581678,615,-1,0.16,0.076,0.052,0.042,0.183,0.09,0.059,0.05
R7A2020_02745,NE,NE,NE,NE,NA,NA,xanthine dehydrogenase family protein subunit M,NA,NA,NA,C,"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM",R7A2020_02745,581976,582839,864,1,0.147,0.067,0.052,0.041,0.146,0.057,0.054,0.041
R7A2020_02750,NE,NE,NE,NE,NA,NA,molybdopterin-dependent oxidoreductase,K07469,aldehyde oxidoreductase [EC:1.2.99.7],NA,C,Aldehyde oxidase and xanthine dehydrogenase,R7A2020_02750,582908,585685,2778,1,0.156,0.07,0.051,0.041,0.157,0.065,0.056,0.051
R7A2020_02755,NE,NE,NE,NE,NA,NA,6-hydroxynicotinate reductase,K20449,6-hydroxynicotinate reductase [EC:1.3.7.1],nudC,L,COG1180 Pyruvate-formate lyase-activating enzyme,R7A2020_02755,585682,587223,1542,1,0.172,0.079,0.047,0.038,0.182,0.082,0.048,0.053
R7A2020_02760,NE,NE,NE,NE,NA,NA,UPF0280 family protein,K09740,uncharacterized protein,NA,S,Flavin transferase that catalyzes the transfer of the FMN moiety of FAD and its covalent binding to the hydroxyl group of a threonine residue in a target flavoprotein,R7A2020_02760,587223,588107,885,1,0.151,0.074,0.042,0.027,0.149,0.08,0.035,0.029
R7A2020_02765,NE,NE,NE,NE,NA,NA,amino acid synthesis family protein,NA,NA,NA,S,Amino acid synthesis,R7A2020_02765,588100,588684,585,1,0.147,0.062,0.04,0.038,0.159,0.084,0.048,0.038
R7A2020_02770,NE,NE,NE,NE,NA,NA,MarR family transcriptional regulator,K22296,"MarR family transcriptional regulator, lower aerobic nicotinate degradation pathway regulator",MA20_26570,K,helix_turn_helix multiple antibiotic resistance protein,R7A2020_02770,588681,589142,462,1,0.137,0.066,0.036,0.028,0.145,0.079,0.033,0.061
R7A2020_02775,NE,NE,NE,NE,NA,NA,inositol monophosphatase,K01092,myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25],NA,G,Inositol monophosphatase family,R7A2020_02775,589174,589968,795,-1,0.167,0.077,0.053,0.041,0.171,0.074,0.056,0.03
R7A2020_02780,NE,NE,NE,NE,NA,NA,LLM class flavin-dependent oxidoreductase,NA,NA,yhbW,C,"luciferase family oxidoreductase, group 1",R7A2020_02780,590048,591049,1002,-1,0.173,0.069,0.053,0.055,0.195,0.092,0.072,0.054
R7A2020_02785,NE,NE,NE,NE,NA,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_02785,591046,591882,837,-1,0.161,0.07,0.05,0.029,0.129,0.045,0.046,0.046
R7A2020_02790,NE,NE,NE,NE,NA,NA,AI-2E family transporter,K11744,AI-2 transport protein TqsA,NA,S,AI-2E family transporter,R7A2020_02790,591954,593123,1170,-1,0.144,0.062,0.056,0.03,0.153,0.067,0.042,0.051
R7A2020_02795,NE,NE,NE,NE,NA,NA,LLM class flavin-dependent oxidoreductase,NA,NA,NA,C,"COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",R7A2020_02795,593220,594281,1062,-1,0.158,0.07,0.061,0.043,0.162,0.066,0.047,0.053
R7A2020_02800,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,S,Evidence 4 Homologs of previously reported genes of,R7A2020_02800,594503,594931,429,1,0.09,0.041,0.038,0.022,0.117,0.038,0.046,0.027
R7A2020_02805,NE,NE,NE,NE,NA,NA,quaternary ammonium compound efflux SMR transporter SugE,K11741,quaternary ammonium compound-resistance protein SugE,sugE,P,Small multidrug resistance protein,sugE,595032,595346,315,-1,0.16,0.093,0.041,0.037,0.175,0.108,0.026,0.033
R7A2020_02810,NE,NE,NE,NE,NA,NA,transglutaminase family protein,NA,NA,NA,E,Transglutaminase-like superfamily,R7A2020_02810,595888,596697,810,1,0.167,0.07,0.057,0.03,0.155,0.071,0.044,0.049
R7A2020_02815,NE,NE,NE,NE,NA,NA,cation transporter,K14696,"solute carrier family 30 (zinc transporter), member 9",catA,P,cation diffusion facilitator family transporter,R7A2020_02815,596823,597776,954,1,0.166,0.078,0.053,0.041,0.17,0.078,0.055,0.052
R7A2020_02820,NE,NE,NE,NE,NA,NA,GFA family protein,NA,NA,NA,S,Glutathione-dependent formaldehyde-activating enzyme,R7A2020_02820,597853,598257,405,1,0.151,0.07,0.049,0.041,0.157,0.052,0.043,0.055
R7A2020_02825,NE,NE,NE,NE,NA,NA,methyltransferase domain-containing protein,NA,NA,NA,Q,Methyltransferase,R7A2020_02825,598338,599150,813,1,0.139,0.059,0.039,0.032,0.16,0.071,0.048,0.056
