Supplementary Table 3. GI-GII ICESym Core Genes,,,,,,,,,,,,,,,,,,,,,,,,,,
R7AICESym.Loci,msi.locus*,Nonunique.Gene.name**,Annotations,Pangenome.Level,Number.isolates,Number.sequences,Avg.sequences.per.isolate,Genome.Fragment,Order.within.Fragment,Accessory.Fragment,Accessory.Order.with.Fragment,QC,Min.group.size.nuc,Max.group.size.nuc,AA,Avg.group.size.nuc,ATCC700743ICESym,MAFF303099ICESym,NZP2014ICESym,NZP2037ICESym,NZP2042ICESym,NZP2234ICESym,NZP2298ICESym,R7AICESym,R88BICESym,SU343ICESym
R7AICESym_00176,msi163,mucR,ROS/MUCR transcriptional regulator (IPR008807),Core,10,10,1,1,975,.,.,.,464,518,156,469,ATCC700743ICESym_00236,MAFF303099ICESym_00294,NZP2014ICESym_00187,NZP2037ICESym_00243,NZP2042ICESym_00186,NZP2234ICESym_00171,NZP2298ICESym_00181,R7AICESym_00176,R88BICESym_00176,SU343ICESym_00236
sRNA,-,⍺r14,NfeR1 homolog of S. meliloti,Core,,,,,,,,,,,,,,,,,,,,,,
R7AICESym_00181,msi167,glyA,Serine hydroxymethyltransferase-like domain (IPR039429),Core,10,10,1,1,971,.,.,.,1337,1718,458,1375,ATCC700743ICESym_00241,MAFF303099ICESym_00299,NZP2014ICESym_00192,NZP2037ICESym_00248,NZP2042ICESym_00191,NZP2234ICESym_00174,NZP2298ICESym_00187,R7AICESym_00181,R88BICESym_00181,SU343ICESym_00241
R7AICESym_00187,msi172,.,hypothetical protein; No predicted domains,Core,10,10,1,1,966,.,.,.,251,335,95,284,ATCC700743ICESym_00249,MAFF303099ICESym_00306,NZP2014ICESym_00198,NZP2037ICESym_00256,NZP2042ICESym_00197,NZP2234ICESym_00179,NZP2298ICESym_00190,R7AICESym_00187,R88BICESym_00187,SU343ICESym_00249
R7AICESym_00316,msi262,nif,iron-sulfur cluster assembly accessory protein; FeS cluster biogenesis (IPR000361),Core,10,10,1,1,560,.,.,.,320,449,115,345,ATCC700743ICESym_00379,MAFF303099ICESym_00460,NZP2014ICESym_00316,NZP2037ICESym_00383,NZP2042ICESym_00321,NZP2234ICESym_00257,NZP2298ICESym_00307,R7AICESym_00316,R88BICESym_00316,SU343ICESym_00379
R7AICESym_00317,msi263,nifU,NIF system FeS cluster assembly; NifU; N-terminal (IPR002871),Core,10,10,1,1,534,.,.,.,461,515,164,493,ATCC700743ICESym_00380,MAFF303099ICESym_00461,NZP2014ICESym_00317,NZP2037ICESym_00384,NZP2042ICESym_00322,NZP2234ICESym_00258,NZP2298ICESym_00308,R7AICESym_00317,R88BICESym_00317,SU343ICESym_00380
R7AICESym_00319,msi264,queE,7-carboxy-7-deazaguanine synthase; Cx14CxxC-type (IPR030977),Core,10,10,1,1,532,.,.,.,632,635,211,634,ATCC700743ICESym_00382,MAFF303099ICESym_00463,NZP2014ICESym_00319,NZP2037ICESym_00386,NZP2042ICESym_00324,NZP2234ICESym_00260,NZP2298ICESym_00310,R7AICESym_00319,R88BICESym_00319,SU343ICESym_00382
R7AICESym_00320,msi265,queD,6-pyruvoyl tetrahydropterin synthase/QueD family (IPR007115),Core,10,10,1,1,529,.,.,.,353,353,118,353,ATCC700743ICESym_00383,MAFF303099ICESym_00464,NZP2014ICESym_00320,NZP2037ICESym_00387,NZP2042ICESym_00325,NZP2234ICESym_00261,NZP2298ICESym_00311,R7AICESym_00320,R88BICESym_00320,SU343ICESym_00383
R7AICESym_00325,msi273,acc,1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase (IPR027278),Core,10,10,1,1,1354,.,.,.,1013,1070,343,1030,ATCC700743ICESym_00390,MAFF303099ICESym_00473,NZP2014ICESym_00329,NZP2037ICESym_00394,NZP2042ICESym_00333,NZP2234ICESym_00266,NZP2298ICESym_00318,R7AICESym_00325,R88BICESym_00325,SU343ICESym_00390
R7AICESym_00328,msi275,nif,Ferredoxin III 4[4Fe-4S]; nif-specific (IPR014283),Core,10,10,1,1,1356,.,.,.,317,320,106,317,ATCC700743ICESym_00402,MAFF303099ICESym_00475,NZP2014ICESym_00341,NZP2037ICESym_00407,NZP2042ICESym_00343,NZP2234ICESym_00268,NZP2298ICESym_00325,R7AICESym_00328,R88BICESym_00328,SU343ICESym_00402
R7AICESym_00329,msi276,nif,hypothetical protein; Putative nitrogen fixation protein (IPR007774),Core,10,10,1,1,1359,.,.,.,203,203,68,203,ATCC700743ICESym_00403,MAFF303099ICESym_00476,NZP2014ICESym_00342,NZP2037ICESym_00408,NZP2042ICESym_00344,NZP2234ICESym_00269,NZP2298ICESym_00326,R7AICESym_00329,R88BICESym_00329,SU343ICESym_00403
R7AICESym_00333,msi278,.,Cupin 2; conserved barrel (IPR013096) + Methionyl/Leucyl tRNA synthetase (IPR015413) + Aminoacyl-tRNA synthetase; class Ia; anticodon-binding (IPR009080),Core,10,10,1,1,1367,.,.,.,2000,2012,667,2001,ATCC700743ICESym_00407,MAFF303099ICESym_00478,NZP2014ICESym_00346,NZP2037ICESym_00412,NZP2042ICESym_00349,NZP2234ICESym_00272,NZP2298ICESym_00328,R7AICESym_00333,R88BICESym_00333,SU343ICESym_00407
R7AICESym_00334,msi279,.,Phytanoyl-CoA dioxygenase (IPR008775),Core,10,10,1,1,1368,.,.,.,779,821,264,791,ATCC700743ICESym_00408,MAFF303099ICESym_00479,NZP2014ICESym_00347,NZP2037ICESym_00413,NZP2042ICESym_00350,NZP2234ICESym_00273,NZP2298ICESym_00329,R7AICESym_00334,R88BICESym_00334,SU343ICESym_00408
R7AICESym_00336,msi280,.,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase (IPR025700),Core,10,10,1,1,1370,.,.,.,1490,1559,503,1510,ATCC700743ICESym_00410,MAFF303099ICESym_00481,NZP2014ICESym_00349,NZP2037ICESym_00415,NZP2042ICESym_00352,NZP2234ICESym_00276,NZP2298ICESym_00331,R7AICESym_00336,R88BICESym_00336,SU343ICESym_00410
R7AICESym_00340,msi282,.,Acetoacetate decarboxylase; bacterial (IPR023653),Core,10,10,1,1,1376,.,.,.,743,743,248,743,ATCC700743ICESym_00416,MAFF303099ICESym_00485,NZP2014ICESym_00352,NZP2037ICESym_00420,NZP2042ICESym_00357,NZP2234ICESym_00280,NZP2298ICESym_00336,R7AICESym_00340,R88BICESym_00340,SU343ICESym_00416
R7AICESym_00341,-,.,hypothetical protein; No predicted domains,Core,10,10,1,1,1377,.,.,.,350,401,132,395,ATCC700743ICESym_00417,MAFF303099ICESym_00488,NZP2014ICESym_00353,NZP2037ICESym_00421,NZP2042ICESym_00358,NZP2234ICESym_00281,NZP2298ICESym_00337,R7AICESym_00341,R88BICESym_00341,SU343ICESym_00417
R7AICESym_00344,msi287,.,Transcriptional regulatory protein WalR-like (IPR039420),Core,10,10,1,1,1380,.,.,.,785,785,262,785,ATCC700743ICESym_00420,MAFF303099ICESym_00491,NZP2014ICESym_00355,NZP2037ICESym_00424,NZP2042ICESym_00365,NZP2234ICESym_00284,NZP2298ICESym_00341,R7AICESym_00344,R88BICESym_00344,SU343ICESym_00420
R7AICESym_00345,msi288,nif,NifX-associated nitrogen fixation protein; Uncharacterised protein family UPF0460 (IPR004952),Core,10,10,1,1,1381,.,.,.,479,479,160,479,ATCC700743ICESym_00421,MAFF303099ICESym_00492,NZP2014ICESym_00356,NZP2037ICESym_00425,NZP2042ICESym_00366,NZP2234ICESym_00285,NZP2298ICESym_00342,R7AICESym_00345,R88BICESym_00345,SU343ICESym_00421
R7AICESym_00346,msi289,nifX,nitrogen fixation protein NifX,Core,10,10,1,1,1382,.,.,.,497,497,166,497,ATCC700743ICESym_00422,MAFF303099ICESym_00493,NZP2014ICESym_00357,NZP2037ICESym_00426,NZP2042ICESym_00367,NZP2234ICESym_00286,NZP2298ICESym_00343,R7AICESym_00346,R88BICESym_00346,SU343ICESym_00422
R7AICESym_00347,msi290,nifN,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN,Core,10,10,1,1,1383,.,.,.,1382,1382,461,1382,ATCC700743ICESym_00423,MAFF303099ICESym_00494,NZP2014ICESym_00358,NZP2037ICESym_00427,NZP2042ICESym_00368,NZP2234ICESym_00287,NZP2298ICESym_00344,R7AICESym_00347,R88BICESym_00347,SU343ICESym_00423
R7AICESym_00348,msi291,nifE,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE,Core,10,10,1,1,1384,.,.,.,1490,1490,497,1490,ATCC700743ICESym_00424,MAFF303099ICESym_00495,NZP2014ICESym_00359,NZP2037ICESym_00428,NZP2042ICESym_00369,NZP2234ICESym_00288,NZP2298ICESym_00345,R7AICESym_00348,R88BICESym_00348,SU343ICESym_00424
R7AICESym_00349,msi292,nifK,nitrogenase molybdenum-iron protein subunit beta,Core,10,10,1,1,1385,.,.,.,1541,1637,517,1552,ATCC700743ICESym_00425,MAFF303099ICESym_00496,NZP2014ICESym_00360,NZP2037ICESym_00429,NZP2042ICESym_00370,NZP2234ICESym_00289,NZP2298ICESym_00346,R7AICESym_00349,R88BICESym_00349,SU343ICESym_00425
R7AICESym_00350,msi293,nifD,nitrogenase molybdenum-iron protein alpha chain,Core,10,10,1,1,1386,.,.,.,1505,1505,502,1505,ATCC700743ICESym_00426,MAFF303099ICESym_00497,NZP2014ICESym_00361,NZP2037ICESym_00430,NZP2042ICESym_00371,NZP2234ICESym_00290,NZP2298ICESym_00347,R7AICESym_00350,R88BICESym_00350,SU343ICESym_00426
R7AICESym_00351,msi294,nifH,nitrogenase iron protein,Core,10,10,1,1,1387,.,.,.,893,893,298,893,ATCC700743ICESym_00427,MAFF303099ICESym_00498,NZP2014ICESym_00362,NZP2037ICESym_00431,NZP2042ICESym_00372,NZP2234ICESym_00291,NZP2298ICESym_00348,R7AICESym_00351,R88BICESym_00351,SU343ICESym_00427
R7AICESym_00381,msi322,.,Pyridoxal phosphate-dependent transferase (IPR015424),Core,10,10,1,1,1410,.,.,.,968,1709,544,1632,ATCC700743ICESym_00443,MAFF303099ICESym_00511,NZP2014ICESym_00378,NZP2037ICESym_00447,NZP2042ICESym_00388,NZP2234ICESym_00302,NZP2298ICESym_00361,R7AICESym_00381,R88BICESym_00381,SU343ICESym_00443
R7AICESym_00382,msi323,.,Asparagine synthase; glutamine-hydrolyzing (IPR006426),Core,10,10,1,1,1413,.,.,.,1892,1892,631,1892,ATCC700743ICESym_00445,MAFF303099ICESym_00513,NZP2014ICESym_00382,NZP2037ICESym_00449,NZP2042ICESym_00390,NZP2234ICESym_00304,NZP2298ICESym_00363,R7AICESym_00382,R88BICESym_00382,SU343ICESym_00445
R7AICESym_00383,-,.,S-adenosyl-L-methionine-dependent methyltransferase (IPR029063); SAM-binding methyltransferase MPBQ/MBSQ (IPR031164),Core,10,10,1,1,1414,.,.,.,914,914,305,914,ATCC700743ICESym_00446,MAFF303099ICESym_00514,NZP2014ICESym_00383,NZP2037ICESym_00450,NZP2042ICESym_00391,NZP2234ICESym_00305,NZP2298ICESym_00364,R7AICESym_00383,R88BICESym_00383,SU343ICESym_00446
R7AICESym_00384,msi324,.,hypothetical protein,Core,10,10,1,1,1415,.,.,.,599,668,207,620,ATCC700743ICESym_00447,MAFF303099ICESym_00515,NZP2014ICESym_00384,NZP2037ICESym_00451,NZP2042ICESym_00392,NZP2234ICESym_00306,NZP2298ICESym_00365,R7AICESym_00384,R88BICESym_00384,SU343ICESym_00447
R7AICESym_00385,msi325,.,Nucleotide-diphospho-sugar transferases (IPR029044),Core,10,10,1,1,1416,.,.,.,809,848,272,817,ATCC700743ICESym_00448,MAFF303099ICESym_00516,NZP2014ICESym_00385,NZP2037ICESym_00452,NZP2042ICESym_00393,NZP2234ICESym_00307,NZP2298ICESym_00366,R7AICESym_00385,R88BICESym_00385,SU343ICESym_00448
R7AICESym_00386,msi326,.,Pyridoxal phosphate-dependent transferase (IPR015424),Core,10,10,1,1,1417,.,.,.,1190,1190,397,1190,ATCC700743ICESym_00449,MAFF303099ICESym_00517,NZP2014ICESym_00386,NZP2037ICESym_00453,NZP2042ICESym_00394,NZP2234ICESym_00308,NZP2298ICESym_00367,R7AICESym_00386,R88BICESym_00386,SU343ICESym_00449
R7AICESym_00387,msi327,.,Phosphoenolpyruvate phosphomutase; core (IPR012698),Core,10,10,1,1,1418,.,.,.,908,908,303,908,ATCC700743ICESym_00450,MAFF303099ICESym_00518,NZP2014ICESym_00387,NZP2037ICESym_00454,NZP2042ICESym_00395,NZP2234ICESym_00309,NZP2298ICESym_00368,R7AICESym_00387,R88BICESym_00387,SU343ICESym_00450
R7AICESym_00388,msi328,.,LLM class flavin-dependent oxidoreductase; Luciferase-like domain (IPR011251); GO:0016705 oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen,Core,10,10,1,1,1419,.,.,.,1043,1055,350,1051,ATCC700743ICESym_00452,MAFF303099ICESym_00519,NZP2014ICESym_00388,NZP2037ICESym_00456,NZP2042ICESym_00397,NZP2234ICESym_00310,NZP2298ICESym_00369,R7AICESym_00388,R88BICESym_00388,SU343ICESym_00452
R7AICESym_00390,msi330,.,nuclear transport factor 2 family protein; SnoaL-like domain (IPR037401); gamma-BHC dehydrochlorinase,Core,10,10,1,1,1424,.,.,.,539,605,188,564,ATCC700743ICESym_00453,MAFF303099ICESym_00522,NZP2014ICESym_00389,NZP2037ICESym_00457,NZP2042ICESym_00398,NZP2234ICESym_00312,NZP2298ICESym_00371,R7AICESym_00390,R88BICESym_00390,SU343ICESym_00453
R7AICESym_00395,msi334,prxS,Peroxiredoxin-5-like (IPR037944),Core,10,10,1,1,1431,.,.,.,353,548,176,528,ATCC700743ICESym_00455,MAFF303099ICESym_00527,NZP2014ICESym_00393,NZP2037ICESym_00459,NZP2042ICESym_00401,NZP2234ICESym_00317,NZP2298ICESym_00375,R7AICESym_00395,R88BICESym_00395,SU343ICESym_00455
R7AICESym_00396,msi335,rpoN2,RNA polymerase sigma-54 factor,Core,10,10,1,1,1432,.,.,.,1454,1454,485,1454,ATCC700743ICESym_00456,MAFF303099ICESym_00528,NZP2014ICESym_00394,NZP2037ICESym_00460,NZP2042ICESym_00402,NZP2234ICESym_00318,NZP2298ICESym_00376,R7AICESym_00396,R88BICESym_00396,SU343ICESym_00456
R7AICESym_00397,msi336,nifQ,nitrogen fixation protein NifQ,Core,10,10,1,1,1433,.,.,.,647,653,217,651,ATCC700743ICESym_00457,MAFF303099ICESym_00529,NZP2014ICESym_00395,NZP2037ICESym_00461,NZP2042ICESym_00403,NZP2234ICESym_00319,NZP2298ICESym_00377,R7AICESym_00397,R88BICESym_00397,SU343ICESym_00457
R7AICESym_00398,msi337,.,Ferredoxin III 4[4Fe-4S]; nif-specific (IPR014283),Core,10,10,1,1,1435,.,.,.,317,317,106,317,ATCC700743ICESym_00458,MAFF303099ICESym_00530,NZP2014ICESym_00396,NZP2037ICESym_00462,NZP2042ICESym_00404,NZP2234ICESym_00320,NZP2298ICESym_00378,R7AICESym_00398,R88BICESym_00398,SU343ICESym_00458
R7AICESym_00400,msi339,exsA,cyclic beta-1;2-glucan ABC transporter (PRK13657); Type I protein exporter (IPR039421),Core,10,10,1,1,1437,.,.,.,1895,1931,638,1915,ATCC700743ICESym_00460,MAFF303099ICESym_00532,NZP2014ICESym_00398,NZP2037ICESym_00464,NZP2042ICESym_00406,NZP2234ICESym_00322,NZP2298ICESym_00380,R7AICESym_00400,R88BICESym_00400,SU343ICESym_00460
R7AICESym_00402,msi340,nifS,cysteine desulfurase NifS,Core,10,10,1,1,1438,.,.,.,1247,1259,418,1255,ATCC700743ICESym_00461,MAFF303099ICESym_00535,NZP2014ICESym_00399,NZP2037ICESym_00465,NZP2042ICESym_00407,NZP2234ICESym_00323,NZP2298ICESym_00382,R7AICESym_00402,R88BICESym_00402,SU343ICESym_00461
R7AICESym_00403,msi341,nifW,nitrogenase stabilizing/protective protein NifW,Core,10,10,1,1,1440,.,.,.,383,383,128,383,ATCC700743ICESym_00462,MAFF303099ICESym_00536,NZP2014ICESym_00400,NZP2037ICESym_00466,NZP2042ICESym_00408,NZP2234ICESym_00324,NZP2298ICESym_00383,R7AICESym_00403,R88BICESym_00403,SU343ICESym_00462
R7AICESym_00404,msi342,fixA,electron transfer flavoprotein subunit beta/FixA family protein,Core,10,10,1,1,1441,.,.,.,851,851,284,851,ATCC700743ICESym_00463,MAFF303099ICESym_00537,NZP2014ICESym_00401,NZP2037ICESym_00467,NZP2042ICESym_00409,NZP2234ICESym_00326,NZP2298ICESym_00384,R7AICESym_00404,R88BICESym_00404,SU343ICESym_00463
R7AICESym_00405,msi343,fixB,electron transfer flavoprotein subunit alpha/FixB family protein,Core,10,10,1,1,1442,.,.,.,1106,1106,369,1106,ATCC700743ICESym_00464,MAFF303099ICESym_00538,NZP2014ICESym_00402,NZP2037ICESym_00468,NZP2042ICESym_00410,NZP2234ICESym_00327,NZP2298ICESym_00385,R7AICESym_00405,R88BICESym_00405,SU343ICESym_00464
R7AICESym_00406,msi344,fixC,Protein FixC-like (IPR039651),Core,10,10,1,1,1443,.,.,.,1307,1307,436,1307,ATCC700743ICESym_00465,MAFF303099ICESym_00539,NZP2014ICESym_00403,NZP2037ICESym_00469,NZP2042ICESym_00411,NZP2234ICESym_00328,NZP2298ICESym_00386,R7AICESym_00406,R88BICESym_00406,SU343ICESym_00465
R7AICESym_00407,msi345,fixX,Ferredoxin-like; FixX (IPR012206),Core,10,10,1,1,1444,.,.,.,299,299,100,299,ATCC700743ICESym_00466,MAFF303099ICESym_00540,NZP2014ICESym_00404,NZP2037ICESym_00470,NZP2042ICESym_00412,NZP2234ICESym_00329,NZP2298ICESym_00387,R7AICESym_00407,R88BICESym_00407,SU343ICESym_00466
R7AICESym_00408,msi346,nifA,nif-specific transcriptional activator NifA,Core,10,10,1,1,1445,.,.,.,1184,1760,567,1702,ATCC700743ICESym_00467,MAFF303099ICESym_00541,NZP2014ICESym_00405,NZP2037ICESym_00471,NZP2042ICESym_00413,NZP2234ICESym_00330,NZP2298ICESym_00388,R7AICESym_00408,R88BICESym_00408,SU343ICESym_00467
R7AICESym_00409,msi347,nifB,nitrogenase cofactor biosynthesis protein NifB,Core,10,10,1,1,1446,.,.,.,1481,1481,494,1481,ATCC700743ICESym_00468,MAFF303099ICESym_00542,NZP2014ICESym_00406,NZP2037ICESym_00472,NZP2042ICESym_00414,NZP2234ICESym_00331,NZP2298ICESym_00389,R7AICESym_00409,R88BICESym_00409,SU343ICESym_00468
R7AICESym_00410,msi348,fdxN,4Fe-4S ferredoxin-type; iron-sulphur binding domain (IPR017896),Core,10,10,1,1,1447,.,.,.,194,194,65,194,ATCC700743ICESym_00469,MAFF303099ICESym_00543,NZP2014ICESym_00407,NZP2037ICESym_00473,NZP2042ICESym_00415,NZP2234ICESym_00332,NZP2298ICESym_00390,R7AICESym_00410,R88BICESym_00410,SU343ICESym_00469
R7AICESym_00411,msi349,nifZ,nitrogen fixation protein NifZ,Core,10,10,1,1,1448,.,.,.,326,326,109,326,ATCC700743ICESym_00470,MAFF303099ICESym_00544,NZP2014ICESym_00408,NZP2037ICESym_00474,NZP2042ICESym_00416,NZP2234ICESym_00333,NZP2298ICESym_00391,R7AICESym_00411,R88BICESym_00411,SU343ICESym_00470
R7AICESym_00412,msi350,fixU,NifT/FixU (IPR009727),Core,10,10,1,1,1449,.,.,.,212,212,71,212,ATCC700743ICESym_00471,MAFF303099ICESym_00545,NZP2014ICESym_00409,NZP2037ICESym_00475,NZP2042ICESym_00417,NZP2234ICESym_00334,NZP2298ICESym_00392,R7AICESym_00412,R88BICESym_00412,SU343ICESym_00471
R7AICESym_00413,msi351,.,SIR2-like domain (IPR039444),Core,10,10,1,1,1450,.,.,.,899,911,302,906,ATCC700743ICESym_00472,MAFF303099ICESym_00546,NZP2014ICESym_00410,NZP2037ICESym_00476,NZP2042ICESym_00418,NZP2234ICESym_00335,NZP2298ICESym_00393,R7AICESym_00413,R88BICESym_00413,SU343ICESym_00472
R7AICESym_00415,msi353,nolK,GDP-L-fucose synthase/GDP-L-colitose synthase (IPR028614),Core,10,10,1,1,1455,.,.,.,953,968,322,966,ATCC700743ICESym_00474,MAFF303099ICESym_00549,NZP2014ICESym_00412,NZP2037ICESym_00478,NZP2042ICESym_00420,NZP2234ICESym_00338,NZP2298ICESym_00395,R7AICESym_00415,R88BICESym_00415,SU343ICESym_00474
R7AICESym_00416,msi354,noeL,GDP-mannose 4;6-dehydratase (IPR006368),Core,10,10,1,1,1456,.,.,.,1100,1100,367,1100,ATCC700743ICESym_00475,MAFF303099ICESym_00550,NZP2014ICESym_00413,NZP2037ICESym_00479,NZP2042ICESym_00421,NZP2234ICESym_00339,NZP2298ICESym_00396,R7AICESym_00416,R88BICESym_00416,SU343ICESym_00475
R7AICESym_00417,msi355,nodZ,nodulation protein NodZ,Core,10,10,1,1,1457,.,.,.,989,989,330,989,ATCC700743ICESym_00476,MAFF303099ICESym_00551,NZP2014ICESym_00414,NZP2037ICESym_00480,NZP2042ICESym_00422,NZP2234ICESym_00340,NZP2298ICESym_00397,R7AICESym_00417,R88BICESym_00417,SU343ICESym_00476
R7AICESym_00422,msi358,dctB,dicarboxylate sensor protein,Core,10,10,1,1,1464,.,.,.,251,1892,357,1071,ATCC700743ICESym_00480,MAFF303099ICESym_00556,NZP2014ICESym_00419,NZP2037ICESym_00484,NZP2042ICESym_00425,NZP2234ICESym_00346,NZP2298ICESym_00404,R7AICESym_00422,R88BICESym_00422,SU343ICESym_00480
R7AICESym_00423,msi359,dctA,C4-dicarboxylate transport protein; dicarboxylate/amino acid:cation symporter,Core,10,10,1,1,1465,.,.,.,1433,1604,500,1501,ATCC700743ICESym_00481,MAFF303099ICESym_00557,NZP2014ICESym_00420,NZP2037ICESym_00485,NZP2042ICESym_00426,NZP2234ICESym_00347,NZP2298ICESym_00405,R7AICESym_00423,R88BICESym_00423,SU343ICESym_00481
R7AICESym_00425,msi360,fixV,LacI-type HTH domain (IPR000843) + Periplasmic binding protein (IPR025997),Core,10,10,1,1,1468,.,.,.,1031,1055,348,1043,ATCC700743ICESym_00482,MAFF303099ICESym_00559,NZP2014ICESym_00421,NZP2037ICESym_00486,NZP2042ICESym_00427,NZP2234ICESym_00349,NZP2298ICESym_00407,R7AICESym_00425,R88BICESym_00425,SU343ICESym_00482
R7AICESym_00427,mis361,nifA2,nif-specific transcriptional activator NifA,Core,10,10,1,1,1470,.,.,.,1742,1814,583,1749,ATCC700743ICESym_00484,MAFF303099ICESym_00561,NZP2014ICESym_00423,NZP2037ICESym_00488,NZP2042ICESym_00429,NZP2234ICESym_00351,NZP2298ICESym_00409,R7AICESym_00427,R88BICESym_00427,SU343ICESym_00484
R7AICESym_00428,msi362,.,Nicotinic acid mononucleotide biosynthesis protein (IPR011213),Core,10,10,1,1,1477,.,.,.,956,959,319,957,ATCC700743ICESym_00490,MAFF303099ICESym_00563,NZP2014ICESym_00427,NZP2037ICESym_00494,NZP2042ICESym_00435,NZP2234ICESym_00354,NZP2298ICESym_00415,R7AICESym_00428,R88BICESym_00428,SU343ICESym_00490
R7AICESym_00429,msi363,nadA,quinolinate synthase NadA,Core,10,10,1,1,1478,.,.,.,974,974,325,974,ATCC700743ICESym_00491,MAFF303099ICESym_00564,NZP2014ICESym_00428,NZP2037ICESym_00495,NZP2042ICESym_00436,NZP2234ICESym_00355,NZP2298ICESym_00416,R7AICESym_00429,R88BICESym_00429,SU343ICESym_00491
R7AICESym_00430,msi364,nadB,L-aspartate oxidase,Core,10,10,1,1,1479,.,.,.,1538,1541,513,1539,ATCC700743ICESym_00492,MAFF303099ICESym_00565,NZP2014ICESym_00429,NZP2037ICESym_00496,NZP2042ICESym_00437,NZP2234ICESym_00356,NZP2298ICESym_00417,R7AICESym_00430,R88BICESym_00430,SU343ICESym_00492
R7AICESym_00431,msi365,nadC,carboxylating nicotinate-nucleotide diphosphorylase,Core,10,10,1,1,1480,.,.,.,881,881,294,881,ATCC700743ICESym_00493,MAFF303099ICESym_00566,NZP2014ICESym_00430,NZP2037ICESym_00497,NZP2042ICESym_00438,NZP2234ICESym_00357,NZP2298ICESym_00418,R7AICESym_00431,R88BICESym_00431,SU343ICESym_00493
R7AICESym_00432,msi366,.,hypothetical protein; No predicted domains,Core,10,10,1,1,1481,.,.,.,347,347,116,347,ATCC700743ICESym_00494,MAFF303099ICESym_00567,NZP2014ICESym_00431,NZP2037ICESym_00498,NZP2042ICESym_00439,NZP2234ICESym_00358,NZP2298ICESym_00419,R7AICESym_00432,R88BICESym_00432,SU343ICESym_00494
R7AICESym_00433,msi367,bioB,biotin synthase BioB,Core,10,10,1,1,1484,.,.,.,995,1013,335,1004,ATCC700743ICESym_00495,MAFF303099ICESym_00568,NZP2014ICESym_00432,NZP2037ICESym_00499,NZP2042ICESym_00440,NZP2234ICESym_00359,NZP2298ICESym_00420,R7AICESym_00433,R88BICESym_00433,SU343ICESym_00495
R7AICESym_00435,msi369,bioD,dethiobiotin synthetase,Core,10,10,1,1,1486,.,.,.,635,635,212,635,ATCC700743ICESym_00497,MAFF303099ICESym_00570,NZP2014ICESym_00434,NZP2037ICESym_00501,NZP2042ICESym_00442,NZP2234ICESym_00361,NZP2298ICESym_00422,R7AICESym_00435,R88BICESym_00435,SU343ICESym_00497
R7AICESym_00436,msi370,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,Core,10,10,1,1,1487,.,.,.,1265,1265,422,1265,ATCC700743ICESym_00498,MAFF303099ICESym_00571,NZP2014ICESym_00435,NZP2037ICESym_00502,NZP2042ICESym_00443,NZP2234ICESym_00362,NZP2298ICESym_00423,R7AICESym_00436,R88BICESym_00436,SU343ICESym_00498
R7AICESym_00437,msi371,bioZ,beta-ketoacyl-ACP synthase III,Core,10,10,1,1,1488,.,.,.,983,983,328,983,ATCC700743ICESym_00499,MAFF303099ICESym_00572,NZP2014ICESym_00436,NZP2037ICESym_00503,NZP2042ICESym_00444,NZP2234ICESym_00363,NZP2298ICESym_00424,R7AICESym_00437,R88BICESym_00437,SU343ICESym_00499
R7AICESym_00438,msi372,panD,aspartate 1-decarboxylase,Core,10,10,1,1,1490,.,.,.,452,452,151,452,ATCC700743ICESym_00500,MAFF303099ICESym_00573,NZP2014ICESym_00437,NZP2037ICESym_00504,NZP2042ICESym_00445,NZP2234ICESym_00364,NZP2298ICESym_00425,R7AICESym_00438,R88BICESym_00438,SU343ICESym_00500
R7AICESym_00440,msi373,.,hypothetical protein; No predicted domains,Core,10,10,1,1,1492,.,.,.,185,191,62,187,ATCC700743ICESym_00502,MAFF303099ICESym_00574,NZP2014ICESym_00439,NZP2037ICESym_00506,NZP2042ICESym_00447,NZP2234ICESym_00365,NZP2298ICESym_00427,R7AICESym_00440,R88BICESym_00440,SU343ICESym_00502
R7AICESym_00442,msi374,groeS,Chaperonin Cpn10,Core,10,10,1,1,1566,.,.,.,296,296,99,296,ATCC700743ICESym_00142,MAFF303099ICESym_00584,NZP2014ICESym_00147,NZP2037ICESym_00148,NZP2042ICESym_00147,NZP2234ICESym_00370,NZP2298ICESym_00429,R7AICESym_00442,R88BICESym_00442,SU343ICESym_00142
R7AICESym_00443,msi375,groeL,Chaperonin Cpn60,Core,10,10,1,1,1565,.,.,.,1658,1667,554,1662,ATCC700743ICESym_00143,MAFF303099ICESym_00585,NZP2014ICESym_00148,NZP2037ICESym_00149,NZP2042ICESym_00148,NZP2234ICESym_00371,NZP2298ICESym_00430,R7AICESym_00443,R88BICESym_00443,SU343ICESym_00143
