locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym
R7A2020_07690,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_07690,1566722,1568072,1351,1,FALSE
R7A2020_07695,NA,ABC transporter permease subunit,K05814,sn-glycerol 3-phosphate transport system permease protein,upgA,G,Binding-protein-dependent transport system inner membrane component,R7A2020_07695,1568178,1569062,885,1,FALSE
R7A2020_07700,NA,ABC transporter permease subunit,K05815,sn-glycerol 3-phosphate transport system permease protein,ugpE,G,probably responsible for the translocation of the substrate across the membrane,R7A2020_07700,1569070,1569984,915,1,FALSE
R7A2020_07705,NA,sn-glycerol-3-phosphate import ATP-binding protein UgpC,K05816,sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10],ugpC,E,Part of the ABC transporter complex UgpABCE involved in sn-glycerol-3-phosphate import. Responsible for energy coupling to the transport system,R7A2020_07705,1569995,1571095,1101,1,FALSE
R7A2020_07710,E,ABC transporter ATP-binding protein,K10822,nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2],fbpC,P,Part of the ABC transporter complex FbpABC involved in Fe(3 ) ions import. Responsible for energy coupling to the transport system,R7A2020_07710,1571192,1572274,1083,-1,FALSE
R7A2020_07715,P,iron ABC transporter permease,K02011,iron(III) transport system permease protein,sfuB,P,Binding-protein-dependent transport system inner membrane component,R7A2020_07715,1572271,1573851,1581,-1,FALSE
R7A2020_07720,P,iron ABC transporter substrate-binding protein,K02012,iron(III) transport system substrate-binding protein,fbpA,P,"ABC-type Fe3 transport system, periplasmic component",R7A2020_07720,1574027,1575034,1008,-1,FALSE
R7A2020_07725,NA,sigma-70 family RNA polymerase sigma factor,K03088,"RNA polymerase sigma-70 factor, ECF subfamily",rpoE7,K,Belongs to the sigma-70 factor family. ECF subfamily,R7A2020_07725,1575354,1575905,552,1,FALSE
R7A2020_07730,NA,DUF1109 family protein,NA,NA,MA20_15880,S,Protein of unknown function (DUF1109),R7A2020_07730,1575907,1576545,639,1,FALSE
R7A2020_07735,NA,PAS domain S-box protein,K21084,diguanylate cyclase [EC:2.7.7.65],yegE,T,Diguanylate cyclase,R7A2020_07735,1576696,1578669,1974,1,FALSE
R7A2020_07740,NA,3-hydroxybutyryl-CoA dehydrogenase,K00074,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],hbdA,I,Dehydrogenase,R7A2020_07740,1578679,1579557,879,-1,FALSE
R7A2020_07745,C,electron transfer flavoprotein subunit alpha/FixB family protein,K03522,electron transfer flavoprotein alpha subunit,etfA,C,Electron transfer flavoprotein,R7A2020_07745,1579674,1580603,930,-1,FALSE
R7A2020_07750,C,electron transfer flavoprotein subunit beta/FixA family protein,K03521,electron transfer flavoprotein beta subunit,etfB,C,Electron transfer flavoprotein,R7A2020_07750,1580628,1581377,750,-1,FALSE
R7A2020_07755,NA,rhomboid family intramembrane serine protease,NA,NA,NA,S,membrane,R7A2020_07755,1581613,1582413,801,-1,FALSE
R7A2020_07760,H,cob(I)yrinic acid a,K00798,cob(I)alamin adenosyltransferase [EC:2.5.1.17],yvqK,S,adenosyltransferase,R7A2020_07760,1582453,1583034,582,-1,FALSE
R7A2020_07765,NA,twin transmembrane helix small protein,NA,NA,MA20_20545,S,Hypoxia induced protein conserved region,R7A2020_07765,1583054,1583245,192,-1,FALSE
R7A2020_07770,NA,SDR family oxidoreductase,NA,NA,NA,IQ,Short chain dehydrogenase,R7A2020_07770,1583271,1584137,867,-1,FALSE
R7A2020_07775,NA,YihY/virulence factor BrkB family protein,K07058,membrane protein,rbn,S,ribonuclease BN,R7A2020_07775,1584196,1585047,852,1,FALSE
R7A2020_07780,NA,DMT family transporter,NA,NA,MA20_35690,EG,transporter,R7A2020_07780,1585128,1586039,912,-1,FALSE
R7A2020_07785,NA,tRNA glutamyl-Q(34) synthetase GluQRS,NA,NA,gluQ,J,Belongs to the class-I aminoacyl-tRNA synthetase family,R7A2020_07785,1586193,1587068,876,-1,FALSE
R7A2020_07790,NA,DNA-3-methyladenine glycosylase 2 family protein,K01247,DNA-3-methyladenine glycosylase II [EC:3.2.2.21],alkA,L,3-methyladenine DNA glycosylase 8-oxoguanine DNA glycosylase,R7A2020_07790,1587144,1587785,642,1,FALSE
R7A2020_07795,NA,HNH endonuclease,NA,NA,MA20_20605,L,HNH endonuclease,R7A2020_07795,1587914,1588471,558,1,FALSE
R7A2020_07800,O,disulfide bond formation protein B,K03611,protein dithiol:quinone oxidoreductase [EC:1.8.5.9],dsbB,O,Disulfide bond formation protein DsbB,R7A2020_07800,1588630,1589148,519,-1,FALSE
R7A2020_07805,NA,DedA family protein,NA,NA,dedA,S,DedA family,R7A2020_07805,1589180,1589764,585,-1,FALSE
R7A2020_07810,J,NA,NA,NA,NA,NA,NA,R7A2020_07810,1590040,1590124,85,1,FALSE
R7A2020_07815,NA,YncE family protein,NA,NA,NA,S,amine dehydrogenase activity,R7A2020_07815,1590143,1591315,1173,-1,FALSE
R7A2020_07820,NA,creatininase family protein,K01470,creatinine amidohydrolase [EC:3.5.2.10],NA,S,Creatinine amidohydrolase,R7A2020_07820,1591312,1592253,942,-1,FALSE
R7A2020_07825,NA,GNAT family N-acetyltransferase,NA,NA,NA,M,Acetyltransferase (GNAT) domain,R7A2020_07825,1592256,1593536,1281,-1,FALSE
R7A2020_07830,NA,lipopolysaccharide biosynthesis protein,NA,NA,MA20_18165,S,Membrane protein involved in the export of O-antigen and teichoic acid,R7A2020_07830,1593536,1594936,1401,-1,FALSE
R7A2020_07835,U,preprotein translocase subunit SecA,K03070,preprotein translocase subunit SecA [EC:7.4.2.8],secA,U,"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane",secA,1595058,1597790,2733,-1,FALSE
R7A2020_07840,NA,peptidylprolyl isomerase,K03769,peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8],ppiC,O,peptidyl-prolyl isomerase,R7A2020_07840,1598052,1598963,912,1,FALSE
R7A2020_07845,NA,TetR/AcrR family transcriptional regulator,NA,NA,phlF,K,Bacterial transcriptional repressor C-terminal,R7A2020_07845,1599039,1599635,597,-1,FALSE
R7A2020_07850,NA,MFS transporter,NA,NA,ydeR,EGP,Major facilitator Superfamily,R7A2020_07850,1599829,1601046,1218,1,FALSE
R7A2020_07855,NA,peptidase C14,NA,NA,NA,S,Caspase domain,R7A2020_07855,1601068,1602297,1230,-1,FALSE
R7A2020_07860,NA,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,K00620,glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],argJ,E,"Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate",argJ,1602466,1603707,1242,1,FALSE
R7A2020_07865,NA,GNAT family N-acetyltransferase,K22476,N-acetylglutamate synthase [EC:2.3.1.1],yobR,K,FR47-like protein,R7A2020_07865,1603737,1604489,753,1,FALSE
R7A2020_07870,NA,8-oxo-dGTP diphosphatase MutT,K03574,8-oxo-dGTP diphosphatase [EC:3.6.1.55],mutT,L,Belongs to the Nudix hydrolase family,mutT,1604498,1604920,423,1,FALSE
R7A2020_07875,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_07875,1605050,1605367,318,1,FALSE
R7A2020_07880,U,Flp family type IVb pilin,K02651,pilus assembly protein Flp/PilA,NA,U,Flp/Fap pilin component,R7A2020_07880,1605478,1605657,180,1,FALSE
R7A2020_07885,Q,methyltransferase domain-containing protein,K18162,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-],bioC,Q,Methyltransferase,R7A2020_07885,1605683,1606558,876,-1,FALSE
R7A2020_07890,NA,ComF family protein,K02242,competence protein ComFC,comF,S,Phosphoribosyl transferase domain,R7A2020_07890,1606623,1607423,801,1,FALSE
R7A2020_07895,NA,glutaredoxin 3,K03676,glutaredoxin 3,grxC,O,Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins,grxC,1607449,1607718,270,1,FALSE
R7A2020_07900,NA,carbon-nitrogen hydrolase family protein,K11206,deaminated glutathione amidase [EC:3.5.1.128],ramA,S,Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase,R7A2020_07900,1607723,1608595,873,1,FALSE
R7A2020_07905,NA,DUF1178 family protein,NA,NA,MA20_39715,S,Protein of unknown function (DUF1178),R7A2020_07905,1608592,1609017,426,1,FALSE
R7A2020_07910,NA,MarR family transcriptional regulator,NA,NA,pecS,K,helix_turn_helix multiple antibiotic resistance protein,R7A2020_07910,1609022,1609507,486,-1,FALSE
R7A2020_07915,NA,DMT family transporter,NA,NA,NA,EG,EamA-like transporter family,R7A2020_07915,1609625,1610533,909,1,FALSE
R7A2020_07920,NA,winged helix DNA-binding protein,NA,NA,NA,K,Winged helix DNA-binding domain,R7A2020_07920,1610540,1611136,597,-1,FALSE
R7A2020_07925,NA,LLM class flavin-dependent oxidoreductase,K17228,dimethylsulfone monooxygenase [EC:1.14.14.35],NA,C,Luciferase-like monooxygenase,R7A2020_07925,1611247,1612371,1125,1,FALSE
R7A2020_07930,NA,flavin reductase family protein,NA,NA,NA,S,Flavin reductase like domain,R7A2020_07930,1612396,1612893,498,1,FALSE
R7A2020_07935,H,bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase,K00568,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64],ubiG,H,O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway,R7A2020_07935,1613087,1613836,750,-1,FALSE
R7A2020_07940,NA,putative glycolipid-binding domain-containing protein,K09957,uncharacterized protein,NA,S,Putative glycolipid-binding,R7A2020_07940,1614019,1614588,570,1,FALSE
R7A2020_07945,NA,diguanylate cyclase,NA,NA,NA,T,Domain present in phytochromes and cGMP-specific phosphodiesterases.,R7A2020_07945,1614722,1616953,2232,1,FALSE
R7A2020_07950,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_07950,1616950,1617201,252,-1,FALSE
R7A2020_07955,E,aspartate kinase,K00928,aspartate kinase [EC:2.7.2.4],lysC,E,Belongs to the aspartokinase family,R7A2020_07955,1617211,1618464,1254,1,FALSE
R7A2020_07960,T,phosphoenolpyruvate--protein phosphotransferase,K08484,"phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]",ptsP,T,Belongs to the PEP-utilizing enzyme family,ptsP,1618546,1620816,2271,1,FALSE
R7A2020_07965,J,peptide chain release factor 1,K02835,peptide chain release factor 1,prfA,J,Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA,prfA,1620827,1621906,1080,1,FALSE
R7A2020_07970,J,peptide chain release factor N(5)-glutamine methyltransferase,K02493,release factor glutamine methyltransferase [EC:2.1.1.297],prmC,J,Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif,prmC,1621899,1622771,873,1,FALSE
R7A2020_07975,NA,DUF4167 domain-containing protein,NA,NA,Otg1,S,Domain of unknown function (DUF4167),R7A2020_07975,1623082,1624038,957,1,FALSE
R7A2020_07980,NA,ATP-dependent chaperone ClpB,K03695,ATP-dependent Clp protease ATP-binding subunit ClpB,clpB,O,"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE",clpB,1624259,1626865,2607,1,FALSE
R7A2020_07985,NA,MmcQ/YjbR family DNA-binding protein,NA,NA,difB,S,YjbR,R7A2020_07985,1626926,1627288,363,1,FALSE
R7A2020_07990,NA,L,NA,NA,gspA,M,ErfK YbiS YcfS YnhG,R7A2020_07990,1627437,1628954,1518,1,FALSE
R7A2020_07995,NA,DUF1211 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF1211),R7A2020_07995,1628928,1629560,633,-1,FALSE
R7A2020_08000,NA,MFS transporter,NA,NA,NA,EGP,Transmembrane secretion effector,R7A2020_08000,1629714,1631288,1575,1,FALSE
R7A2020_08005,M,M23 family metallopeptidase,K19304,murein DD-endopeptidase [EC:3.4.24.-],MA20_20375,M,peptidase,R7A2020_08005,1631315,1633285,1971,-1,FALSE
R7A2020_08010,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_08010,1633524,1633865,342,1,FALSE
R7A2020_08015,J,NA,NA,NA,NA,NA,NA,R7A2020_08015,1634058,1635546,1489,1,FALSE
R7A2020_08020,J,NA,NA,NA,NA,NA,NA,R7A2020_08020,1635833,1635909,77,1,FALSE
R7A2020_08025,J,NA,NA,NA,NA,NA,NA,R7A2020_08025,1635960,1636035,76,1,FALSE
R7A2020_08030,J,NA,NA,NA,NA,NA,NA,R7A2020_08030,1636457,1639312,2856,1,FALSE
R7A2020_08035,J,NA,NA,NA,NA,NA,NA,rrf,1639463,1639577,115,1,FALSE
R7A2020_08040,J,NA,NA,NA,NA,NA,NA,R7A2020_08040,1639845,1639921,77,1,FALSE
R7A2020_08045,NA,type II toxin-antitoxin system ParD family antitoxin,K07746,antitoxin ParD1/3/4,NA,K,addiction module antidote protein,R7A2020_08045,1640413,1640679,267,1,FALSE
R7A2020_08050,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_08050,1640709,1640967,259,1,FALSE
R7A2020_08055,J,NA,NA,NA,NA,NA,NA,R7A2020_08055,1641568,1643056,1489,1,FALSE
R7A2020_08060,J,NA,NA,NA,NA,NA,NA,R7A2020_08060,1643343,1643419,77,1,FALSE
R7A2020_08065,J,NA,NA,NA,NA,NA,NA,R7A2020_08065,1643470,1643545,76,1,FALSE
R7A2020_08070,J,NA,NA,NA,NA,NA,NA,R7A2020_08070,1643967,1646822,2856,1,FALSE
R7A2020_08075,J,NA,NA,NA,NA,NA,NA,rrf,1646973,1647087,115,1,FALSE
R7A2020_08080,J,NA,NA,NA,NA,NA,NA,R7A2020_08080,1647355,1647431,77,1,FALSE
R7A2020_08085,NA,LysR family transcriptional regulator,NA,NA,NA,K,"Bacterial regulatory helix-turn-helix protein, lysR family",R7A2020_08085,1647675,1648610,936,-1,FALSE
R7A2020_08090,NA,DsbA family protein,K07396,putative protein-disulfide isomerase,NA,O,DSBA-like thioredoxin domain,R7A2020_08090,1648749,1649387,639,1,FALSE
R7A2020_08095,NA,NAD(P)-dependent oxidoreductase,K07118,uncharacterized protein,MA20_08400,S,NADH-flavin reductase,R7A2020_08095,1649427,1650038,612,1,FALSE
R7A2020_08100,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_08100,1650039,1650842,804,-1,FALSE
R7A2020_08105,NA,DeoR/GlpR transcriptional regulator,NA,NA,NA,K,"helix_turn_helix, Deoxyribose operon repressor",R7A2020_08105,1651024,1651806,783,1,FALSE
R7A2020_08110,NA,ROK family protein,K00845,glucokinase [EC:2.7.1.2],glcK,GK,Transcriptional regulator sugar kinase,R7A2020_08110,1651824,1653272,1449,-1,FALSE
R7A2020_08115,NA,tagatose-bisphosphate aldolase,K01671,sulfofructosephosphate aldolase [EC:4.1.2.57],lacD,G,DeoC/LacD family aldolase,R7A2020_08115,1653345,1654253,909,-1,FALSE
R7A2020_08120,NA,helix-turn-helix domain-containing protein,NA,NA,NA,K,COG2390 Transcriptional regulator contains sigma factor-related N-terminal domain,R7A2020_08120,1654520,1655419,900,1,FALSE
R7A2020_08125,NA,ABC transporter substrate-binding protein,K10439,ribose transport system substrate-binding protein,rbsB,G,ABC-type sugar transport system periplasmic component,R7A2020_08125,1655832,1656809,978,1,FALSE
R7A2020_08130,NA,ribose ABC transporter,NA,NA,NA,S,Branched-chain amino acid transport system / permease component,R7A2020_08130,1656901,1657962,1062,1,FALSE
R7A2020_08135,NA,sugar ABC transporter ATP-binding protein,K10822,nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2],NA,G,"ABC-type sugar transport system, ATPase component",R7A2020_08135,1657955,1658710,756,1,FALSE
R7A2020_08140,NA,L-2-amino-thiazoline-4-carboxylic acid hydrolase,NA,NA,NA,S,L-2-amino-thiazoline-4-carboxylic acid hydrolase,R7A2020_08140,1658785,1659291,507,-1,FALSE
R7A2020_08145,NA,ABC transporter ATP-binding protein,NA,NA,NA,E,ABC transporter,R7A2020_08145,1659288,1660073,786,-1,FALSE
R7A2020_08150,NA,ABC transporter ATP-binding protein,NA,NA,oppD,EP,ABC-type dipeptide oligopeptide nickel transport system ATPase component,R7A2020_08150,1660070,1660936,867,-1,FALSE
R7A2020_08155,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,NA,EP,ABC-type dipeptide oligopeptide nickel transport,R7A2020_08155,1660933,1661763,831,-1,FALSE
R7A2020_08160,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,NA,EP,ABC-type dipeptide oligopeptide nickel transport,R7A2020_08160,1661760,1662746,987,-1,FALSE
R7A2020_08165,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,NA,E,ABC-type dipeptide transport system periplasmic component,R7A2020_08165,1663014,1664624,1611,-1,FALSE
R7A2020_08170,NA,aminopeptidase P family protein,NA,NA,NA,E,peptidase,R7A2020_08170,1664994,1666181,1188,1,FALSE
R7A2020_08175,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_08175,1666217,1666897,681,1,FALSE
R7A2020_08180,NA,cupin domain-containing protein,NA,NA,NA,G,Cupin,R7A2020_08180,1666900,1667319,420,-1,FALSE
R7A2020_08185,NA,phosphoenolpyruvate hydrolase family protein,NA,NA,NA,S,Phosphoenolpyruvate hydrolase-like,R7A2020_08185,1667326,1668192,867,-1,FALSE
R7A2020_08190,NA,UPF0261 family protein,NA,NA,NA,E,Belongs to the UPF0261 family,R7A2020_08190,1668204,1669400,1197,-1,FALSE
R7A2020_08195,NA,TetR/AcrR family transcriptional regulator,NA,NA,NA,K,"Bacterial regulatory proteins, tetR family",R7A2020_08195,1669507,1670166,660,1,FALSE
R7A2020_08200,NA,ABC transporter ATP-binding protein,NA,NA,NA,P,COG3839 ABC-type sugar transport systems ATPase components,R7A2020_08200,1670608,1671720,1113,1,FALSE
R7A2020_08205,NA,carbohydrate ABC transporter substrate-binding protein,NA,NA,NA,G,Bacterial extracellular solute-binding protein,R7A2020_08205,1671767,1673200,1434,1,FALSE
R7A2020_08210,NA,sugar ABC transporter permease,NA,NA,NA,G,ABC-type sugar transport systems permease components,R7A2020_08210,1673280,1674341,1062,1,FALSE
R7A2020_08215,NA,carbohydrate ABC transporter permease,NA,NA,NA,G,"ABC-type sugar transport system, permease component",R7A2020_08215,1674345,1675283,939,1,FALSE
R7A2020_08220,NA,ABC transporter ATP-binding protein,NA,NA,NA,P,Belongs to the ABC transporter superfamily,R7A2020_08220,1675285,1676373,1089,1,FALSE
R7A2020_08225,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_08225,1676370,1676810,441,1,FALSE
R7A2020_08230,NA,ABC transporter ATP-binding protein,NA,NA,tupC,G,TOBE domain,R7A2020_08230,1676818,1677672,855,1,FALSE
R7A2020_08235,NA,DUF4437 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4437),R7A2020_08235,1677682,1678113,432,-1,FALSE
R7A2020_08240,NA,AraC family transcriptional regulator,NA,NA,alkR,K,AraC family transcriptional regulator,R7A2020_08240,1678249,1679220,972,-1,FALSE
R7A2020_08245,NA,AraC family transcriptional regulator,NA,NA,alkR,K,COG2207 AraC-type DNA-binding domain-containing,R7A2020_08245,1679268,1680254,987,-1,FALSE
R7A2020_08250,NA,MFS transporter,NA,NA,yicM,EGP,Major facilitator Superfamily,R7A2020_08250,1680439,1681653,1215,1,FALSE
R7A2020_08255,NA,GFA family protein,NA,NA,NA,S,Glutathione-dependent formaldehyde-activating enzyme,R7A2020_08255,1681767,1682114,348,-1,FALSE
R7A2020_08260,NA,amidase,K01426,amidase [EC:3.5.1.4],NA,J,Belongs to the amidase family,R7A2020_08260,1682230,1683525,1296,1,FALSE
R7A2020_08265,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_08265,1683550,1683939,390,-1,FALSE
R7A2020_08270,NA,hydroxyacid dehydrogenase,NA,NA,NA,EH,D-isomer specific 2-hydroxyacid dehydrogenase,R7A2020_08270,1683980,1684960,981,-1,FALSE
R7A2020_08275,NA,FadR family transcriptional regulator,K05799,"GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex",NA,K,FCD,R7A2020_08275,1684975,1685694,720,-1,FALSE
R7A2020_08280,NA,mandelate racemase/muconate lactonizing enzyme family protein,K18983,D-galactarolactone cycloisomerase [EC:5.5.1.27],NA,M,mandelate racemase muconate lactonizing,R7A2020_08280,1685697,1686866,1170,-1,FALSE
R7A2020_08285,NA,sugar phosphate isomerase/epimerase,K18910,D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31],NA,G,Xylose isomerase-like TIM barrel,R7A2020_08285,1686927,1687814,888,-1,FALSE
R7A2020_08290,NA,sugar phosphate isomerase/epimerase,NA,NA,NA,G,AP endonuclease,R7A2020_08290,1688218,1689273,1056,1,FALSE
R7A2020_08295,NA,Gfo/Idh/MocA family oxidoreductase,NA,NA,NA,S,Oxidoreductase,R7A2020_08295,1689328,1690515,1188,1,FALSE
R7A2020_08300,NA,sugar phosphate isomerase/epimerase,K18910,D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31],NA,G,Xylose isomerase-like TIM barrel,R7A2020_08300,1690559,1691410,852,1,FALSE
R7A2020_08305,NA,phosphonate ABC transporter,K02042,phosphonate transport system permease protein,phoT,P,COG3639 ABC-type phosphate phosphonate transport system permease component,phnE,1691663,1693030,1368,-1,FALSE
R7A2020_08310,NA,phosphonate ABC transporter,K02042,phosphonate transport system permease protein,phoE,P,Phosphonate ABC transporter,phnE,1693034,1694005,972,-1,FALSE
R7A2020_08315,NA,phosphonate ABC transporter substrate-binding protein,K02044,phosphonate transport system substrate-binding protein,phnD,P,Phosphonate ABC transporter,phnD,1694060,1694968,909,-1,FALSE
R7A2020_08320,NA,phosphonate ABC transporter ATP-binding protein,K02041,phosphonate transport system ATP-binding protein [EC:7.3.2.2],phnC,P,Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system,phnC,1695059,1695913,855,-1,FALSE
R7A2020_08325,NA,DUF1868 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF1868),R7A2020_08325,1696147,1696857,711,-1,FALSE
R7A2020_08330,NA,acetyltransferase,NA,NA,cat,S,"TIGRFAM phosphonate metabolim protein, transferase hexapeptide repeat family",R7A2020_08330,1696944,1697561,618,-1,FALSE
R7A2020_08335,NA,phosphonate C-P lyase system protein PhnL,K05780,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37],phnL,P,phosphonate C-P lyase system protein PhnL,phnL,1697558,1698265,708,-1,FALSE
R7A2020_08340,NA,phosphonate C-P lyase system protein PhnK,K05781,putative phosphonate transport system ATP-binding protein,phnK,P,phosphonate C-P lyase system protein PhnK,phnK,1698268,1699044,777,-1,FALSE
R7A2020_08345,NA,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ,K06163,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1],phnJ,P,Catalyzes the breakage of the C-P bond in alpha-D-ribose 1-methylphosphonate 5-phosphate (PRPn) forming alpha-D-ribose,R7A2020_08345,1699041,1699940,900,-1,FALSE
R7A2020_08350,E,FosX/FosE/FosI family fosfomycin resistance thiol transferase,K21252,fosfomycin resistance protein FosX,fosX,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,fosX,1700215,1700634,420,-1,FALSE
R7A2020_08355,NA,carbon-phosphorus lyase complex subunit PhnI,K06164,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37],phnI,P,Phosphonate metabolism,R7A2020_08355,1700631,1701743,1113,-1,FALSE
R7A2020_08360,NA,phosphonate C-P lyase system protein PhnH,K06165,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37],phnH,P,TIGRFAM phosphonate C-P lyase system protein PhnH,phnH,1701745,1702356,612,-1,FALSE
R7A2020_08365,NA,phosphonate C-P lyase system protein PhnG,K06166,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37],phnG,P,Phosphonate C-P lyase system protein PhnG,phnG,1702356,1702817,462,-1,FALSE
R7A2020_08370,NA,phosphonate metabolism transcriptional regulator PhnF,K02043,"GntR family transcriptional regulator, phosphonate transport system regulatory protein",phnF,K,Transcriptional regulator,phnF,1702938,1703687,750,1,FALSE
R7A2020_08375,NA,zinc-binding alcohol dehydrogenase family protein,NA,NA,yjjN,E,Glucose dehydrogenase C-terminus,R7A2020_08375,1703703,1704719,1017,-1,FALSE
R7A2020_08380,NA,ABC transporter permease,K10440,ribose transport system permease protein,NA,G,Belongs to the binding-protein-dependent transport system permease family,R7A2020_08380,1704784,1705752,969,-1,FALSE
R7A2020_08385,NA,sugar ABC transporter ATP-binding protein,K02056,simple sugar transport system ATP-binding protein [EC:7.5.2.-],NA,G,"ABC-type sugar transport system, ATPase component",R7A2020_08385,1705749,1707302,1554,-1,FALSE
R7A2020_08390,NA,ABC transporter substrate-binding protein,K10439,ribose transport system substrate-binding protein,NA,G,ABC-type sugar transport system periplasmic component,R7A2020_08390,1707469,1708464,996,-1,FALSE
R7A2020_08395,NA,aldo/keto reductase,K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],NA,C,PFAM aldo keto reductase,R7A2020_08395,1708795,1709793,999,-1,FALSE
R7A2020_08400,NA,altronate dehydratase,K01685,altronate hydrolase [EC:4.2.1.7],uxaA,G,dehydratase,R7A2020_08400,1709856,1711361,1506,-1,FALSE
R7A2020_08405,NA,GntR family transcriptional regulator,NA,NA,yjjM,K,FCD,R7A2020_08405,1711614,1712516,903,1,FALSE
R7A2020_08410,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_08410,1712639,1712995,357,1,FALSE
R7A2020_08415,NA,copper chaperone PCu(A)C,K09796,periplasmic copper chaperone A,NA,S,Copper chaperone PCu(A)C,R7A2020_08415,1713093,1713632,540,1,FALSE
R7A2020_08420,S,YcnI family protein,NA,NA,NA,S,Domain of unkown function (DUF1775),R7A2020_08420,1713672,1714190,519,1,FALSE
R7A2020_08425,NA,copper resistance protein CopC,K14166,copper transport protein,ycnJ,P,Copper resistance protein D,R7A2020_08425,1714267,1715880,1614,1,FALSE
R7A2020_08430,NA,NADP-dependent phosphogluconate dehydrogenase,K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],gnd,G,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH",gndA,1716046,1717473,1428,1,FALSE
R7A2020_08435,NA,LacI family DNA-binding transcriptional regulator,NA,NA,NA,K,helix_turn _helix lactose operon repressor,R7A2020_08435,1717470,1718522,1053,-1,FALSE
R7A2020_08440,NA,carbohydrate ABC transporter substrate-binding protein,K17315,glucose/mannose transport system substrate-binding protein,NA,G,Extracellular solute-binding protein,R7A2020_08440,1718929,1720167,1239,1,FALSE
