# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* R7A2020_06465       K03088   66.33  133.7   3.7e-39 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_06475       K17468  391.50  490.7  1.1e-147 D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]
* R7A2020_06485       K02028  368.47  409.2  8.5e-123 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* R7A2020_06485       K10822  138.23  165.4   4.7e-49 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_06490       K02029  219.70  231.8   6.1e-69 polar amino acid transport system permease protein
* R7A2020_06495       K02029  219.70  231.7   6.6e-69 polar amino acid transport system permease protein
* R7A2020_06510       K09794   28.00   29.5   2.3e-07 uncharacterized protein
* R7A2020_06515       K09794   28.00   33.5   1.4e-08 uncharacterized protein
* R7A2020_06520       K03526   99.53  437.5  1.7e-131 (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
* R7A2020_06545       K21014   57.23  262.2   2.3e-78 trehalose 2-sulfotransferase [EC:2.8.2.37]
* R7A2020_06555       K11527  625.13  662.2  5.3e-199 two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
* R7A2020_06560       K00046  313.47  382.9  1.9e-115 gluconate 5-dehydrogenase [EC:1.1.1.69]
* R7A2020_06565       K00795  380.40  443.8    4e-133 farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
* R7A2020_06570       K03814  243.63  298.0   4.7e-89 monofunctional glycosyltransferase [EC:2.4.1.129]
* R7A2020_06575       K02911   22.87   71.5     3e-20 large subunit ribosomal protein L32
* R7A2020_06585       K11477   42.70  102.0   1.5e-29 glc operon protein GlcG
* R7A2020_06605       K00799   63.00  105.3   1.6e-30 glutathione S-transferase [EC:2.5.1.18]
* R7A2020_06635       K00344  277.73  374.0  4.1e-112 NADPH:quinone reductase [EC:1.6.5.5]
* R7A2020_06645       K09987  219.97  379.7  3.7e-114 uncharacterized protein
* R7A2020_06670       K15975  367.13  427.2  2.8e-128 glyoxalase family protein
* R7A2020_06690       K01623   66.80  522.1  7.3e-157 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
* R7A2020_06695       K00927  106.30  578.6  6.3e-174 phosphoglycerate kinase [EC:2.7.2.3]
* R7A2020_06700       K11105  235.47  711.7  2.9e-214 potassium/hydrogen antiporter
* R7A2020_06705       K00134  294.23  486.7  2.4e-146 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
* R7A2020_06710       K00615  238.27  697.8  8.6e-210 transketolase [EC:2.2.1.1]
* R7A2020_06720       K09888   23.60   82.8     1e-23 cell division protein ZapA
* R7A2020_06725       K24158  313.20  347.0  8.5e-105 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
* R7A2020_06730       K01069  127.03  131.0     2e-38 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
* R7A2020_06735       K03089  260.53  441.8  6.9e-133 RNA polymerase sigma-32 factor
* R7A2020_06740       K06180  290.00  421.9  1.4e-126 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
* R7A2020_06775       K00799   63.00   96.6   7.1e-28 glutathione S-transferase [EC:2.5.1.18]
* R7A2020_06800       K11527  625.13  673.7  1.7e-202 two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
* R7A2020_06805       K02040   59.33  211.7   7.6e-63 phosphate transport system substrate-binding protein
* R7A2020_06810       K02037  260.00  362.8  1.3e-108 phosphate transport system permease protein
* R7A2020_06815       K02038  253.47  286.8   1.2e-85 phosphate transport system permease protein
* R7A2020_06820       K02036  260.10  441.3  6.4e-133 phosphate transport system ATP-binding protein [EC:7.3.2.1]
* R7A2020_06825       K02039  112.53  237.3   1.2e-70 phosphate transport system protein
* R7A2020_06830       K07657  301.13  344.9  1.3e-103 two-component system, OmpR family, phosphate regulon response regulator PhoB
* R7A2020_06830       K02483  242.13  257.9   5.2e-77 two-component system, OmpR family, response regulator
* R7A2020_06840       K10543  338.80  397.9  2.1e-119 D-xylose transport system substrate-binding protein
* R7A2020_06845       K10544  400.33  483.3    4e-145 D-xylose transport system permease protein
* R7A2020_06850       K10545  345.57  364.8  1.7e-109 D-xylose transport system ATP-binding protein [EC:7.5.2.10]
* R7A2020_06850       K10822  138.23  148.3   7.6e-44 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_06860       K04062   41.33   42.2   2.5e-11 osmotically inducible lipoprotein OsmB
* R7A2020_06895       K03088   66.33  143.1     5e-42 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_06910       K05594   41.87   46.2   2.3e-12 ElaB protein
* R7A2020_06930       K07029  129.57  148.6   9.5e-44 diacylglycerol kinase (ATP) [EC:2.7.1.107]
* R7A2020_06945       K15975  367.13  448.1  1.3e-134 glyoxalase family protein
* R7A2020_06950       K06999   94.83  123.7   3.3e-36 phospholipase/carboxylesterase
* R7A2020_06955       K06975   42.30   94.4   2.6e-27 uncharacterized protein
* R7A2020_06960       K01273   75.50  293.9   6.5e-88 membrane dipeptidase [EC:3.4.13.19]
* R7A2020_06990       K02167  123.50  184.9   7.5e-55 TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes
* R7A2020_07005       K00274  288.03  294.2   8.7e-88 monoamine oxidase [EC:1.4.3.4]
* R7A2020_07010       K11072  493.77  494.4  1.4e-148 spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]
* R7A2020_07010       K10822  138.23  141.4   9.8e-42 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_07015       K11070  282.43  292.5   1.7e-87 spermidine/putrescine transport system permease protein
* R7A2020_07015       K02053  248.57  262.6   1.9e-78 putative spermidine/putrescine transport system permease protein
* R7A2020_07020       K11071  283.03  345.2  1.7e-103 spermidine/putrescine transport system permease protein
* R7A2020_07030       K22443  308.67  352.4  1.6e-105 carnitine monooxygenase subunit [EC:1.14.13.239]
* R7A2020_07040       K14986  297.83  303.7   9.7e-91 two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]
* R7A2020_07075       K03585  256.03  307.7   6.1e-92 membrane fusion protein, multidrug efflux system
* R7A2020_07105       K02025  267.83  294.4   4.1e-88 multiple sugar transport system permease protein
* R7A2020_07110       K02027  183.17  232.4   4.3e-69 multiple sugar transport system substrate-binding protein
* R7A2020_07120       K03306  392.03  401.5  1.7e-120 inorganic phosphate transporter, PiT family
* R7A2020_07130       K07001  106.07  175.1   7.7e-52 NTE family protein
* R7A2020_07135       K01574   81.60  401.6  9.6e-121 acetoacetate decarboxylase [EC:4.1.1.4]
* R7A2020_07140       K00019  247.83  289.8   1.1e-86 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
* R7A2020_07145       K03651  116.70  241.4   6.7e-72 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
* R7A2020_07155       K21416  436.30  484.2  6.2e-146 acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]
* R7A2020_07155       K00161  342.33  416.0    7e-125 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
* R7A2020_07160       K21417  465.30  490.8  1.9e-147 acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]
* R7A2020_07160       K00162  451.07  488.8  5.7e-147 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
* R7A2020_07165       K00627  454.90  471.5  1.7e-141 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
* R7A2020_07170       K02012  200.77  251.9   5.1e-75 iron(III) transport system substrate-binding protein
* R7A2020_07210       K02466   72.50  119.3   3.8e-35 glucitol operon activator protein
* R7A2020_07215       K02783  122.67  287.0   2.5e-86 glucitol/sorbitol PTS system EIIC component
* R7A2020_07220       K02782  178.60  465.5    3e-140 glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]
* R7A2020_07225       K02781   63.03  102.6   3.7e-30 glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]
* R7A2020_07245       K05346  292.70  322.0   1.7e-96 deoxyribonucleoside regulator
* R7A2020_07255       K22935  274.43  549.4  3.5e-165 D-ribulokinase [EC:2.7.1.47]
* R7A2020_07265       K03477  256.40  299.3   7.4e-90 DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor
* R7A2020_07275       K10441  700.93  742.9  1.7e-223 ribose transport system ATP-binding protein [EC:7.5.2.7]
* R7A2020_07275       K02056  516.00  629.4  2.3e-189 simple sugar transport system ATP-binding protein [EC:7.5.2.-]
* R7A2020_07275       K10822  138.23  147.4   1.5e-43 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_07280       K10440  328.70  347.5  4.5e-104 ribose transport system permease protein
* R7A2020_07285       K10439  188.77  234.7   8.5e-70 ribose transport system substrate-binding protein
* R7A2020_07290       K18910  191.00  308.8   1.2e-92 D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
* R7A2020_07295       K06995   49.23   90.7   3.1e-26 uncharacterized protein
* R7A2020_07305       K01209   88.53  401.8  2.5e-120 alpha-L-arabinofuranosidase [EC:3.2.1.55]
* R7A2020_07315       K02025  267.83  285.4   2.2e-85 multiple sugar transport system permease protein
* R7A2020_07355       K06400  148.50  355.4  2.6e-106 site-specific DNA recombinase
* R7A2020_07365       K01451  514.33  560.7  1.6e-168 hippurate hydrolase [EC:3.5.1.32]
* R7A2020_07370       K07258  268.27  279.3   2.4e-83 serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
* R7A2020_07380       K04085   43.53   86.3   6.2e-25 tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]
* R7A2020_07390       K01962  369.97  499.3  6.1e-150 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
* R7A2020_07395       K04763  185.70  295.3   3.7e-88 integrase/recombinase XerD
* R7A2020_07405       K00891  130.43  185.8   5.8e-55 shikimate kinase [EC:2.7.1.71]
* R7A2020_07410       K01735  327.13  460.3  4.2e-138 3-dehydroquinate synthase [EC:4.2.3.4]
* R7A2020_07430       K05527   71.13  127.0   2.4e-37 BolA family transcriptional regulator, general stress-responsive regulator
* R7A2020_07440       K09882  193.63  500.5  1.2e-150 cobaltochelatase CobS [EC:6.6.1.2]
* R7A2020_07450       K09883  117.43  904.9  1.2e-272 cobaltochelatase CobT [EC:6.6.1.2]
* R7A2020_07485       K09125   31.53  168.9   6.2e-50 queuosine precursor transporter
* R7A2020_07490       K02902   36.83   92.1   1.5e-26 large subunit ribosomal protein L28
* R7A2020_07510       K09705   42.77  196.5   2.4e-58 uncharacterized protein
* R7A2020_07515       K01069  127.03  225.1   5.7e-67 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
* R7A2020_07525       K02471  397.90  629.1  3.4e-189 vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
* R7A2020_07545       K00641   77.57  561.3  5.3e-169 homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
* R7A2020_07550       K00817  294.87  354.4  4.6e-106 histidinol-phosphate aminotransferase [EC:2.6.1.9]
* R7A2020_07555       K00220  380.23  515.4  1.4e-155 cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
* R7A2020_07555       K04517  218.17  295.4     3e-88 prephenate dehydrogenase [EC:1.3.1.12]
* R7A2020_07560       K18478  260.77  327.6   2.8e-98 sulfofructose kinase [EC:2.7.1.184]
* R7A2020_07570       K07232   34.83  193.5     2e-57 glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
* R7A2020_07585       K00655  121.90  155.7   6.4e-46 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
* R7A2020_07595       K09958   62.50  311.6   8.9e-94 uncharacterized protein
* R7A2020_07600       K07006   72.17  152.7   4.3e-45 uncharacterized protein
* R7A2020_07610       K09811   84.13  177.7   1.4e-52 cell division transport system permease protein
* R7A2020_07615       K09812  295.60  326.6   9.4e-98 cell division transport system ATP-binding protein
* R7A2020_07625       K00760  100.67  202.5     3e-60 hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
* R7A2020_07635       K15270  177.50  236.9   9.2e-71 S-adenosylmethionine uptake transporter
* R7A2020_07655       K01754  261.73  352.4  2.1e-105 threonine dehydratase [EC:4.3.1.19]
* R7A2020_07665       K01586  294.50  516.6    4e-155 diaminopimelate decarboxylase [EC:4.1.1.20]
* R7A2020_07675       K01755  179.33  755.6  2.1e-227 argininosuccinate lyase [EC:4.3.2.1]
* R7A2020_07680       K02199   90.80   97.6   2.6e-28 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
* R7A2020_07685       K21023  318.10  572.2    8e-172 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_07695       K05814  339.93  357.4    2e-107 sn-glycerol 3-phosphate transport system permease protein
* R7A2020_07700       K05815  309.93  350.6    2e-105 sn-glycerol 3-phosphate transport system permease protein
* R7A2020_07705       K05816  530.07  532.5  2.6e-160 sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]
* R7A2020_07710       K10822  138.23  147.1   1.8e-43 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_07715       K02011  338.17  365.5  1.5e-109 iron(III) transport system permease protein
* R7A2020_07720       K02012  200.77  246.6   2.1e-73 iron(III) transport system substrate-binding protein
* R7A2020_07725       K03088   66.33  120.1   5.1e-35 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_07735       K21084  309.37  673.1  2.1e-202 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_07740       K00074  425.87  456.2  7.3e-137 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
* R7A2020_07745       K03522   70.47  411.9  1.1e-123 electron transfer flavoprotein alpha subunit
* R7A2020_07750       K03521   52.83  367.9    2e-110 electron transfer flavoprotein beta subunit
* R7A2020_07760       K00798   33.70  259.9   9.1e-78 cob(I)alamin adenosyltransferase [EC:2.5.1.17]
* R7A2020_07775       K07058   39.73  167.2   2.4e-49 membrane protein
* R7A2020_07790       K01247  166.57  188.9   4.2e-56 DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
* R7A2020_07800       K03611   52.63   62.5   1.5e-17 protein dithiol:quinone oxidoreductase [EC:1.8.5.9]
* R7A2020_07820       K01470   69.17  198.7   6.1e-59 creatinine amidohydrolase [EC:3.5.2.10]
* R7A2020_07835       K03070  295.60 1279.7         0 preprotein translocase subunit SecA [EC:7.4.2.8]
* R7A2020_07840       K03769  197.57  281.5   4.6e-84 peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
* R7A2020_07860       K00620  193.50  567.7  1.3e-170 glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
* R7A2020_07865       K22476   88.57  173.7   2.5e-51 N-acetylglutamate synthase [EC:2.3.1.1]
* R7A2020_07870       K03574   67.33  111.2   2.1e-32 8-oxo-dGTP diphosphatase [EC:3.6.1.55]
* R7A2020_07880       K02651   27.70   51.3   4.6e-14 pilus assembly protein Flp/PilA
* R7A2020_07885       K18162  211.30  295.8   1.8e-88 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]
* R7A2020_07890       K02242   67.30  149.8   3.8e-44 competence protein ComFC
* R7A2020_07895       K03676   77.40   80.0     5e-23 glutaredoxin 3
* R7A2020_07900       K11206  276.33  321.3   3.8e-96 deaminated glutathione amidase [EC:3.5.1.128]
* R7A2020_07925       K17228  348.60  437.7  1.4e-131 dimethylsulfone monooxygenase [EC:1.14.14.35]
* R7A2020_07935       K00568  326.77  355.7  8.5e-107 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
* R7A2020_07940       K09957   66.97  165.5   4.2e-49 uncharacterized protein
* R7A2020_07955       K00928  419.77  504.8  1.3e-151 aspartate kinase [EC:2.7.2.4]
* R7A2020_07960       K08484  661.53  966.3  3.1e-291 phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]
* R7A2020_07965       K02835  352.57  528.8  5.3e-159 peptide chain release factor 1
* R7A2020_07970       K02493  233.70  298.3   3.7e-89 release factor glutamine methyltransferase [EC:2.1.1.297]
* R7A2020_07980       K03695 1104.23 1329.7         0 ATP-dependent Clp protease ATP-binding subunit ClpB
* R7A2020_08005       K19304  160.03  215.9   4.5e-64 murein DD-endopeptidase [EC:3.4.24.-]
* R7A2020_08045       K07746   34.20   67.0   9.8e-19 antitoxin ParD1/3/4
* R7A2020_08090       K07396   64.20  151.2   9.3e-45 putative protein-disulfide isomerase
* R7A2020_08095       K07118  129.93  262.6   1.4e-78 uncharacterized protein
* R7A2020_08110       K00845  245.10  265.9   3.2e-79 glucokinase [EC:2.7.1.2]
* R7A2020_08115       K01671  264.73  332.9  6.1e-100 sulfofructosephosphate aldolase [EC:4.1.2.57]
* R7A2020_08125       K10439  188.77  241.6     7e-72 ribose transport system substrate-binding protein
* R7A2020_08125       K02058  197.17  197.3   1.8e-58 simple sugar transport system substrate-binding protein
* R7A2020_08135       K10822  138.23  141.7   8.2e-42 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_08155       K02034  190.03  309.1   2.1e-92 peptide/nickel transport system permease protein
* R7A2020_08160       K02033  209.53  361.9    2e-108 peptide/nickel transport system permease protein
* R7A2020_08165       K02035  240.93  371.9  2.1e-111 peptide/nickel transport system substrate-binding protein
* R7A2020_08260       K01426  221.77  304.4     7e-91 amidase [EC:3.5.1.4]
* R7A2020_08275       K05799  149.57  158.2   1.7e-46 GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
* R7A2020_08280       K18983  362.57  387.5  2.7e-116 D-galactarolactone cycloisomerase [EC:5.5.1.27]
* R7A2020_08285       K18910  191.00  248.6   2.7e-74 D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
* R7A2020_08300       K18910  191.00  367.1  2.2e-110 D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
* R7A2020_08305       K02042  151.70  337.2  8.9e-101 phosphonate transport system permease protein
* R7A2020_08310       K02042  151.70  309.9   1.7e-92 phosphonate transport system permease protein
* R7A2020_08315       K02044  118.07  204.2   1.4e-60 phosphonate transport system substrate-binding protein
* R7A2020_08320       K02041  271.17  381.0  2.7e-114 phosphonate transport system ATP-binding protein [EC:7.3.2.2]
* R7A2020_08320       K10822  138.23  143.5   2.3e-42 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_08335       K05780  219.97  366.9  1.3e-110 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]
* R7A2020_08340       K05781  289.67  485.7  8.6e-146 putative phosphonate transport system ATP-binding protein
* R7A2020_08345       K06163  332.57  556.4  9.2e-168 alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]
* R7A2020_08350       K21252  158.90  233.4   2.4e-70 fosfomycin resistance protein FosX
* R7A2020_08355       K06164  183.73  579.2  8.9e-175 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]
* R7A2020_08360       K06165  126.03  234.2   8.2e-70 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]
* R7A2020_08365       K06166   62.07  206.0   1.1e-61 alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]
* R7A2020_08370       K02043  208.13  308.6   9.1e-93 GntR family transcriptional regulator, phosphonate transport system regulatory protein
* R7A2020_08380       K10440  328.70  367.8  3.2e-110 ribose transport system permease protein
* R7A2020_08385       K02056  516.00  542.8  3.6e-163 simple sugar transport system ATP-binding protein [EC:7.5.2.-]
* R7A2020_08385       K10822  138.23  140.8   1.6e-41 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_08390       K10439  188.77  236.3   2.9e-70 ribose transport system substrate-binding protein
* R7A2020_08395       K00064  264.43  410.0  3.6e-123 D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
* R7A2020_08400       K01685  556.67  661.1  3.4e-199 altronate hydrolase [EC:4.2.1.7]
* R7A2020_08415       K09796   19.90  194.7   1.1e-57 periplasmic copper chaperone A
* R7A2020_08425       K14166  180.70  458.1  1.6e-137 copper transport protein
* R7A2020_08425       K07156   56.20  114.2   3.3e-33 copper resistance protein C
* R7A2020_08430       K00033  154.77  663.1  1.4e-199 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
* R7A2020_08440       K17315  251.87  383.9  4.9e-115 glucose/mannose transport system substrate-binding protein
* R7A2020_08445       K17316  313.03  386.7  2.5e-116 glucose/mannose transport system permease protein
* R7A2020_08450       K17317  290.60  428.7  3.4e-129 glucose/mannose transport system permease protein
* R7A2020_08470       K19265  344.10  617.4  5.5e-186 L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
* R7A2020_08480       K01318  123.97  201.6   8.3e-60 glutamyl endopeptidase [EC:3.4.21.19]
* R7A2020_08510       K22684   86.60  143.8     4e-42 metacaspase-1 [EC:3.4.22.-]
* R7A2020_08515       K09823  100.10  168.3   6.3e-50 Fur family transcriptional regulator, zinc uptake regulator
* R7A2020_08520       K02335  390.87  704.1  1.1e-211 DNA polymerase I [EC:2.7.7.7]
* R7A2020_08530       K03684  189.17  190.2   2.7e-56 ribonuclease D [EC:3.1.13.5]
* R7A2020_08565       K22044  179.10  355.5  1.3e-106 moderate conductance mechanosensitive channel
* R7A2020_08575       K03585  256.03  297.1   9.7e-89 membrane fusion protein, multidrug efflux system
* R7A2020_08610       K03825  123.83  214.5   4.4e-64 L-phenylalanine/L-methionine N-acetyltransferase [EC:2.3.1.53 2.3.1.-]
* R7A2020_08630       K02034  190.03  306.2   1.7e-91 peptide/nickel transport system permease protein
* R7A2020_08635       K02033  209.53  287.3   8.2e-86 peptide/nickel transport system permease protein
* R7A2020_08645       K02031  418.00  765.4  2.8e-230 peptide/nickel transport system ATP-binding protein
* R7A2020_08645       K02032  384.37  763.5  7.4e-230 peptide/nickel transport system ATP-binding protein
* R7A2020_08655       K13015  463.53  702.3  2.6e-211 UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]
* R7A2020_08675       K00784   74.83   77.4   2.9e-22 ribonuclease Z [EC:3.1.26.11]
* R7A2020_08680       K10914  126.27  126.8   5.4e-37 CRP/FNR family transcriptional regulator, cyclic AMP receptor protein
* R7A2020_08700       K16703  243.93  280.2   1.3e-83 colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]
* R7A2020_08730       K01768  161.97  170.8   1.1e-50 adenylate cyclase [EC:4.6.1.1]
* R7A2020_08745       K05366  621.87  747.6  6.1e-225 penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
* R7A2020_08765       K03455  140.27  762.3  2.2e-229 monovalent cation:H+ antiporter-2, CPA2 family
* R7A2020_08780       K02302  422.20  530.5  1.5e-159 uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
* R7A2020_08780       K02303  246.83  321.2     3e-96 uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
* R7A2020_08780       K02304  143.40  162.1   6.7e-48 precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]
* R7A2020_08790       K00381  573.30  648.2  6.8e-195 sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
* R7A2020_08795       K00390  140.23  285.5     2e-85 phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
* R7A2020_08805       K00108  445.17  729.9  2.2e-219 choline dehydrogenase [EC:1.1.99.1]
* R7A2020_08810       K05520  161.17  203.3   2.3e-60 protease I [EC:3.5.1.124]
* R7A2020_08815       K10255  226.90  426.9  2.7e-128 acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]
* R7A2020_08825       K03687   30.70  230.1   1.5e-68 molecular chaperone GrpE
* R7A2020_08840       K22310   93.17  369.5  3.5e-111 L-ornithine Nalpha-acyltransferase [EC:2.3.2.30]
* R7A2020_08850       K19745  218.27  549.7  3.7e-165 acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
* R7A2020_08855       K03101   32.97  156.1     3e-46 signal peptidase II [EC:3.4.23.36]
* R7A2020_08860       K03437  216.30  271.5   3.9e-81 RNA methyltransferase, TrmH family
* R7A2020_08865       K06969  242.03  249.4   3.1e-74 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
* R7A2020_08885       K19244  291.97  295.9   1.9e-88 alanine dehydrogenase [EC:1.4.1.1]
* R7A2020_08890       K08992   33.43   46.7   1.3e-12 lipopolysaccharide assembly protein A
* R7A2020_08895       K05788  122.90  158.0     7e-47 integration host factor subunit beta
* R7A2020_08900       K04773  189.43  272.4   2.9e-81 protease IV [EC:3.4.21.-]
* R7A2020_08905       K11719   51.53  141.3   1.5e-41 lipopolysaccharide export system protein LptC
* R7A2020_08910       K09774   57.40  139.5   4.3e-41 lipopolysaccharide export system protein LptA
* R7A2020_08915       K06861  278.17  488.1  1.3e-146 lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
* R7A2020_08915       K10822  138.23  185.6     3e-55 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_08920       K03092   42.97  553.0  2.1e-166 RNA polymerase sigma-54 factor
* R7A2020_08925       K05808   95.73  117.9   1.3e-34 putative sigma-54 modulation protein
* R7A2020_08930       K02806  166.87  189.3   5.3e-56 nitrogen PTS system EIIA component [EC:2.7.1.-]
* R7A2020_08945       K01239   83.37  407.4  3.1e-122 purine nucleosidase [EC:3.2.2.1]
* R7A2020_08950       K05834  158.67  212.0   2.1e-63 homoserine/homoserine lactone efflux protein
* R7A2020_08955       K01426  221.77  355.4  2.4e-106 amidase [EC:3.5.1.4]
* R7A2020_08960       K00852  231.83  329.5   1.2e-98 ribokinase [EC:2.7.1.15]
* R7A2020_08985       K10778  215.87  370.6  4.6e-111 AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]
* R7A2020_09000       K10773  135.03  286.0   1.9e-85 endonuclease III [EC:4.2.99.18]
* R7A2020_09005       K08983   54.53  188.8   3.4e-56 putative membrane protein
* R7A2020_09015       K03790  102.30  102.6   9.4e-30 [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
* R7A2020_09020       K21023  318.10  425.0  2.6e-127 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_09020       K21084  309.37  400.9  4.1e-120 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_09025       K07220   56.20  104.9   1.7e-30 uncharacterized protein
* R7A2020_09040       K13038  297.87  623.3  1.2e-187 phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
* R7A2020_09045       K03688  418.50  502.3  6.7e-151 ubiquinone biosynthesis protein
* R7A2020_09050       K03183  270.10  345.9  1.1e-103 demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
