locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0,rhizo.state,GIFU.state,NFR5.state,COL0.state,ICE.state,invitro.state,TB.state,TY.state,GR.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,DESeq2.LRT,ICESym.DESeq2.LRT,ICESym,WT1.INPUT.norm,WT3.INPUT.norm,NS1.INPUT.norm,NS3.INPUT.nrom,WT1.NFR5.norm,WT3.NFR5.norm,NS1.NFR5.norm,NS3.NFR5.norm,WT1.GIFU.norm,WT3.GIFU.norm,NS1.GIFU.norm,NS3.GIFU.norm,WT1.COL0.norm,WT3.COL0.norm,NS1.COL0.norm,NS3.COL0.norm,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Chrom.cluster,ICESym.cluster
R7A2020_06975,0.078,0.109,0.057,0.049,0.053,0.065,0.112,0.056,0.055,0.039,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,NA,Q,Flavin containing amine oxidoreductase,R7A2020_06975,1417223,1418782,1560,-1,TRUE,FALSE,FALSE,4311.4,3277.6,2232.1,3003.1,2167.7,1269.9,1486.8,1697.7,2466.9,1887.3,2350.5,2664.2,3004.0,2726.4,1738.6,890.0,2330.904,0.374,0.389,23.497,0.001,0.057,NA,NA
R7A2020_06980,0.085,0.116,0.057,0.061,0.052,0.075,0.105,0.054,0.057,0.048,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,NA,Q,COG1233 Phytoene dehydrogenase and related,R7A2020_06980,1418769,1420388,1620,-1,TRUE,FALSE,FALSE,2405.6,3471.8,2345.8,3982.4,2830.6,4362.1,2358.6,1585.3,2558.6,3233.2,1948.7,1523.7,3233.1,2654.0,2709.8,3901.6,2826.424,0.107,0.378,12.505,0.085,0.455,NA,NA
R7A2020_06985,0.08,0.128,0.071,0.049,0.061,0.074,0.121,0.057,0.061,0.068,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,methyltransferase domain-containing protein,NA,NA,NA,Q,Ribosomal protein L11 methyltransferase (PrmA),R7A2020_06985,1420642,1421430,789,1,TRUE,FALSE,FALSE,1516.2,888.6,1211.5,1119.4,1209.8,875.4,987.7,1543.6,2114.6,2615.7,1001.1,1192.0,1153.7,1396.9,2611.2,899.3,1398.337,-0.764,0.496,9.878,0.196,0.623,NA,NA
R7A2020_06990,0.082,0.132,0.065,0.062,0.067,0.072,0.116,0.044,0.058,0.056,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,transcriptional regulator BetI,K02167,"TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes",NA,K,"BetI-type transcriptional repressor, C-terminal",betI,1421437,1422123,687,1,TRUE,FALSE,FALSE,1644.6,1132.1,1035.0,690.7,809.1,710.5,920.5,1377.6,2254.2,848.2,1241.5,431.7,1989.2,1279.1,1865.9,1437.6,1232.150,-1.134,0.566,9.205,0.238,0.672,NA,NA
R7A2020_06995,0.081,0.149,0.081,0.056,0.068,0.104,0.156,0.081,0.077,0.067,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ABC transporter substrate-binding protein,NA,NA,potD,E,Bacterial extracellular solute-binding protein,R7A2020_06995,1422172,1423254,1083,1,TRUE,FALSE,FALSE,2615.9,1397.8,1993.0,2217.0,1647.5,1564.0,2097.9,1980.3,2197.9,2458.2,3110.0,2562.0,2349.1,1030.7,2117.5,3052.5,2154.258,-0.701,0.416,6.436,0.490,0.839,NA,NA
R7A2020_07000,0.062,0.109,0.054,0.059,0.042,0.071,0.119,0.06,0.047,0.046,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_07000,1423362,1424415,1054,1,TRUE,FALSE,FALSE,1619.2,1049.6,1872.7,1967.0,2157.3,3541.4,998.2,1028.7,2109.6,2162.4,2416.7,2220.9,1446.7,1051.4,778.8,1889.1,1772.013,1.080,0.438,19.345,0.007,0.134,NA,NA
R7A2020_07005,0.065,0.114,0.05,0.055,0.059,0.069,0.098,0.043,0.049,0.044,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,flavin monoamine oxidase family protein,K00274,monoamine oxidase [EC:1.4.3.4],NA,E,Flavin containing amine oxidoreductase,R7A2020_07005,1424388,1425722,1335,1,TRUE,FALSE,FALSE,1956.6,3058.2,2191.6,2559.9,2018.0,1805.5,2514.0,1068.3,1815.3,1780.0,1560.8,1708.0,2287.2,1922.2,1738.6,2582.4,2041.604,-0.191,0.412,4.133,0.764,0.946,NA,NA
R7A2020_07010,0.079,0.125,0.077,0.061,0.065,0.092,0.125,0.058,0.075,0.057,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ABC transporter ATP-binding protein,K11072,spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11],NA,E,Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system,R7A2020_07010,1425686,1426759,1074,-1,TRUE,FALSE,FALSE,2375.9,1546.7,3073.8,2044.3,1987.1,3027.7,2445.6,3014.3,2620.0,1800.0,2693.1,1202.6,2356.2,1992.8,2169.5,1742.6,2260.343,0.344,0.425,2.862,0.897,0.986,NA,NA
R7A2020_07015,0.067,0.102,0.059,0.046,0.05,0.074,0.119,0.056,0.073,0.036,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ABC transporter permease,K11070,spermidine/putrescine transport system permease protein,NA,E,Binding-protein-dependent transport system inner membrane component,R7A2020_07015,1426824,1427645,822,-1,TRUE,FALSE,FALSE,1331.2,1402.8,827.3,1804.0,971.6,552.5,2536.4,679.7,1561.4,1443.5,932.5,1244.7,1683.0,1798.7,573.2,1472.8,1303.927,-0.440,0.597,5.734,0.571,0.878,NA,NA
R7A2020_07020,0.078,0.105,0.051,0.055,0.05,0.065,0.114,0.054,0.054,0.056,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ABC transporter permease,K11071,spermidine/putrescine transport system permease protein,potB,E,"ABC-type spermidine putrescine transport system, permease component I",R7A2020_07020,1427642,1428559,918,-1,TRUE,FALSE,FALSE,1401.8,1019.4,1044.2,1399.5,1335.3,1679.3,836.3,737.5,1413.4,1285.3,2028.8,878.2,847.6,1426.0,1348.3,752.2,1217.102,0.508,0.496,4.758,0.689,0.926,NA,NA
R7A2020_07025,0.097,0.126,0.066,0.06,0.06,0.082,0.12,0.061,0.056,0.044,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,aminotransferase,NA,NA,NA,H,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,R7A2020_07025,1428925,1430343,1419,1,TRUE,FALSE,FALSE,3502.5,3164.8,2258.3,2503.2,2933.8,5046.7,2985.5,1507.2,3721.4,2696.3,4289.9,2906.4,3399.4,3123.1,2125.3,851.2,2943.094,1.410,0.435,14.455,0.044,0.348,NA,NA
R7A2020_07030,0.046,0.091,0.04,0.046,0.037,0.05,0.084,0.038,0.036,0.03,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,aromatic ring-hydroxylating dioxygenase subunit alpha,K22443,carnitine monooxygenase subunit [EC:1.14.13.239],alcE,P,Ring hydroxylating alpha subunit (catalytic domain),R7A2020_07030,1430380,1431582,1203,-1,TRUE,FALSE,FALSE,782.1,943.9,905.7,716.1,992.3,1059.2,372.7,1036.2,665.1,1186.2,688.7,911.9,1038.2,974.4,840.3,546.2,855.306,0.552,0.550,2.052,0.957,0.998,NA,NA
R7A2020_07035,0.069,0.1,0.057,0.046,0.06,0.054,0.094,0.049,0.043,0.034,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_07035,1432074,1432484,411,1,TRUE,FALSE,FALSE,680.4,763.8,439.1,636.4,536.5,972.8,873.1,339.3,361.5,734.3,232.3,880.3,397.4,837.9,411.2,400.5,594.786,0.881,0.728,1.975,0.961,0.999,NA,NA
R7A2020_07040,0.068,0.103,0.052,0.042,0.04,0.066,0.12,0.066,0.056,0.045,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,PAS domain S-box protein,K14986,"two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]",NA,T,Histidine kinase,R7A2020_07040,1432727,1434814,2088,-1,TRUE,FALSE,FALSE,3553.3,2881.1,2782.3,2966.9,2201.2,4369.1,2647.0,4967.9,2105.4,2924.8,3600.1,3183.3,4012.8,1911.9,1934.6,3999.2,3134.093,0.132,0.446,2.235,0.946,0.997,NA,NA
R7A2020_07045,0.105,0.146,0.081,0.071,0.065,0.089,0.121,0.055,0.058,0.061,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,response regulator transcription factor,NA,NA,NA,T,"Transcriptional regulatory protein, C terminal",R7A2020_07045,1434909,1435634,726,-1,TRUE,FALSE,FALSE,1551.5,1594.0,1386.6,2019.0,1354.2,1778.6,954.8,1062.9,1172.9,2030.7,952.3,1222.6,1868.5,1183.4,2690.1,991.2,1492.100,-0.246,0.486,5.445,0.606,0.889,NA,NA
R7A2020_07050,0.082,0.131,0.077,0.064,0.06,0.099,0.147,0.079,0.077,0.059,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,response regulator transcription factor,NA,NA,NA,KT,"Transcriptional regulatory protein, C terminal",R7A2020_07050,1435728,1436429,702,1,TRUE,FALSE,FALSE,2219.2,1216.6,1560.4,1348.8,1143.6,789.0,1191.8,1669.9,997.2,1473.1,1019.6,1893.4,1051.4,967.3,1375.2,3096.3,1442.934,-1.225,0.494,9.355,0.228,0.662,NA,NA
R7A2020_07055,0.09,0.118,0.083,0.042,0.049,0.09,0.167,0.104,0.09,0.118,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_07055,1436497,1436664,168,-1,TRUE,FALSE,FALSE,704.4,522.3,1135.7,777.6,110.9,131.2,953.5,193.7,157.2,936.2,714.2,725.5,508.9,399.8,439.3,1340.0,611.745,-2.893,0.824,13.417,0.063,0.398,NA,NA
R7A2020_07060,0.081,0.099,0.06,0.046,0.074,0.067,0.12,0.081,0.035,0.056,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_07060,1436713,1437045,333,-1,TRUE,FALSE,FALSE,638.1,404.5,829.9,396.1,535.7,469.0,160.7,86.7,351.5,722.5,699.1,797.2,423.8,1121.9,235.5,306.5,512.434,0.876,0.689,17.963,0.012,0.178,NA,NA
R7A2020_07065,0.059,0.09,0.051,0.026,0.036,0.054,0.111,0.057,0.044,0.041,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,L,NA,NA,NA,S,"L,D-transpeptidase catalytic domain",R7A2020_07065,1437386,1437841,456,1,TRUE,FALSE,FALSE,477.2,364.3,667.8,254.8,805.7,26.8,305.5,415.3,761.8,470.3,689.8,1012.0,317.3,209.0,794.3,135.7,482.515,-0.171,1.024,3.468,0.839,0.969,NA,NA
R7A2020_07070,0.068,0.108,0.057,0.055,0.048,0.082,0.114,0.056,0.057,0.049,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,multidrug efflux protein,NA,NA,MA20_16805,V,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,R7A2020_07070,1437967,1441050,3084,-1,TRUE,FALSE,FALSE,5447.8,5026.5,5426.1,5285.3,5220.9,5569.4,6392.4,4654.3,4194.8,6761.4,6162.0,3877.3,4192.2,6092.1,6027.4,4859.0,5336.046,-0.027,0.313,0.322,1.000,1.000,NA,NA
R7A2020_07075,0.073,0.101,0.054,0.045,0.053,0.066,0.117,0.053,0.061,0.046,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,efflux RND transporter periplasmic adaptor subunit,K03585,"membrane fusion protein, multidrug efflux system",Z012_03225,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_07075,1441047,1442393,1347,-1,TRUE,FALSE,FALSE,2995.7,1859.7,1812.6,1537.2,1491.0,1413.0,1918.8,2381.7,2193.7,894.1,2046.2,2344.1,1387.9,1713.9,2751.0,2156.0,1936.412,-0.771,0.423,7.956,0.337,0.744,NA,NA
R7A2020_07080,0.037,0.056,0.033,0.021,0.016,0.043,0.064,0.027,0.021,0.029,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,TetR/AcrR family transcriptional regulator,NA,NA,NA,K,transcriptional regulator,R7A2020_07080,1442539,1443108,570,1,TRUE,FALSE,FALSE,520.9,191.2,365.9,338.1,90.3,119.2,359.5,393.9,375.0,818.6,269.4,558.1,103.4,53.7,281.5,513.2,335.258,-1.938,0.792,18.864,0.009,0.147,NA,NA
R7A2020_07085,0.089,0.137,0.089,0.063,0.058,0.096,0.143,0.057,0.084,0.057,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,NA,NA,NA,E,COG3839 ABC-type sugar transport systems ATPase components,ugpC,1443141,1444214,1074,-1,TRUE,FALSE,FALSE,2333.6,2694.9,2279.2,3399.2,1698.2,1142.7,2093.9,1705.2,3308.6,3991.9,1661.9,1941.8,2439.3,2254.8,3248.9,1170.6,2341.034,-0.650,0.424,13.898,0.053,0.379,NA,NA
R7A2020_07090,0.094,0.151,0.093,0.079,0.078,0.115,0.184,0.104,0.091,0.091,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,carbohydrate kinase family protein,NA,NA,NA,G,pfkB family carbohydrate kinase,R7A2020_07090,1444201,1445139,939,-1,TRUE,FALSE,FALSE,2151.5,1951.2,3230.6,2970.5,2981.9,2639.1,2242.7,2702.8,2477.9,4177.5,3702.3,3844.6,1848.2,2370.6,2617.2,5250.9,2953.758,-0.500,0.361,13.469,0.061,0.395,NA,NA
R7A2020_07095,0.078,0.136,0.069,0.069,0.057,0.083,0.143,0.083,0.067,0.056,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,SIS domain-containing protein,NA,NA,NA,M,SIS domain,R7A2020_07095,1445139,1446161,1023,-1,TRUE,FALSE,FALSE,1737.8,1176.4,1654.5,3050.2,3850.4,881.4,2752.4,1928.9,1792.6,1667.6,1246.1,4002.6,1179.1,2978.1,611.4,2324.7,2055.887,0.673,0.866,1.938,0.963,0.999,NA,NA
R7A2020_07100,0.065,0.118,0.071,0.061,0.044,0.069,0.113,0.053,0.057,0.053,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,carbohydrate ABC transporter permease,NA,NA,NA,G,"ABC-type sugar transport system, permease component",R7A2020_07100,1446158,1447003,846,-1,TRUE,FALSE,FALSE,851.3,779.9,1746.0,1295.7,1085.1,1744.8,1111.5,1715.9,1130.9,2917.4,502.9,1610.1,440.0,900.6,1724.8,1666.6,1328.669,-0.275,0.579,11.394,0.122,0.534,NA,NA
R7A2020_07105,0.046,0.092,0.045,0.032,0.036,0.046,0.085,0.033,0.041,0.031,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,sugar ABC transporter permease,K02025,multiple sugar transport system permease protein,NA,G,PFAM Binding-protein-dependent transport system inner membrane component,R7A2020_07105,1447003,1447887,885,-1,TRUE,FALSE,FALSE,588.7,481.0,976.2,886.3,460.9,573.3,841.5,1435.5,792.9,661.1,1564.3,543.4,801.9,887.0,367.0,533.3,776.083,0.186,0.562,10.920,0.142,0.561,NA,NA
R7A2020_07110,0.041,0.074,0.027,0.033,0.034,0.042,0.082,0.025,0.044,0.032,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,extracellular solute-binding protein,K02027,multiple sugar transport system substrate-binding protein,NA,G,ABC-type sugar transport system periplasmic component,R7A2020_07110,1448072,1449310,1239,-1,TRUE,FALSE,FALSE,758.1,726.6,1100.4,526.5,956.1,966.8,636.1,1866.8,269.9,368.3,151.0,695.0,467.4,1165.2,790.7,1045.0,782.615,0.053,0.714,10.283,0.173,0.598,NA,NA
R7A2020_07115,0.091,0.119,0.071,0.058,0.042,0.083,0.138,0.069,0.068,0.062,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ROK family protein,NA,NA,xylR,GK,Transcriptional regulator sugar kinase,R7A2020_07115,1449531,1450745,1215,1,TRUE,FALSE,FALSE,2014.5,1473.2,2398.1,1915.1,2402.4,2668.9,1584.3,2317.5,2239.1,2332.4,2379.5,1099.4,1795.5,469.1,1150.5,2061.3,1897.415,0.644,0.530,6.075,0.531,0.859,NA,NA
R7A2020_07120,0.069,0.118,0.066,0.054,0.057,0.096,0.122,0.058,0.06,0.053,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,inorganic phosphate transporter,K03306,"inorganic phosphate transporter, PiT family",pitA,P,phosphate transporter,R7A2020_07120,1450874,1452484,1611,1,TRUE,FALSE,FALSE,1943.9,2889.1,3228.0,3766.2,3172.8,2734.5,3911.3,2267.2,3239.6,2441.9,3626.8,3305.5,1814.8,4364.0,3743.7,2005.3,3035.008,0.026,0.425,2.181,0.949,0.997,NA,NA
R7A2020_07125,0.08,0.13,0.066,0.069,0.047,0.069,0.11,0.047,0.06,0.041,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_07125,1452655,1453476,822,-1,TRUE,FALSE,FALSE,848.4,1376.6,795.9,1595.1,1960.4,1129.8,808.6,796.4,1786.7,887.4,457.6,459.1,1344.4,613.4,838.5,893.6,1039.261,0.821,0.550,12.223,0.093,0.476,NA,NA
R7A2020_07130,0.046,0.075,0.043,0.031,0.026,0.054,0.093,0.04,0.04,0.045,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,patatin-like phospholipase family protein,K07001,NTE family protein,NA,S,esterase of the alpha-beta hydrolase superfamily,R7A2020_07130,1453815,1454975,1161,-1,TRUE,FALSE,FALSE,1136.4,682.3,1020.7,1009.5,654.3,1952.5,769.1,675.4,1160.3,724.0,761.8,682.4,1027.0,972.4,1455.3,1374.4,1006.041,-0.133,0.526,6.289,0.506,0.845,NA,NA
R7A2020_07135,0.061,0.095,0.051,0.042,0.04,0.036,0.086,0.043,0.036,0.031,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,acetoacetate decarboxylase,K01574,acetoacetate decarboxylase [EC:4.1.1.4],adc,Q,Catalyzes the conversion of acetoacetate to acetone and carbon dioxide,R7A2020_07135,1454968,1455756,789,-1,TRUE,FALSE,FALSE,1120.9,1604.1,742.3,695.5,1014.6,1641.5,708.5,1550.0,1150.2,1218.0,861.7,890.9,923.6,2034.8,340.7,630.9,1072.457,1.436,0.538,12.938,0.074,0.426,NA,NA
R7A2020_07140,0.08,0.135,0.074,0.052,0.061,0.104,0.147,0.065,0.076,0.057,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,3-hydroxybutyrate dehydrogenase,K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],NA,IQ,Enoyl-(Acyl carrier protein) reductase,R7A2020_07140,1456003,1456791,789,1,TRUE,FALSE,FALSE,2494.5,908.7,2432.1,1382.6,1619.9,837.6,2261.2,1558.6,1447.0,2435.2,1325.1,1096.2,3761.3,1158.8,1605.9,732.1,1694.349,0.059,0.596,6.140,0.523,0.856,NA,NA
R7A2020_07145,0.083,0.137,0.073,0.057,0.062,0.083,0.133,0.057,0.074,0.053,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,phosphodiesterase,K03651,"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]",cpdA,S,"Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes",R7A2020_07145,1456863,1457639,777,1,TRUE,FALSE,FALSE,1229.6,1908.0,1582.6,1637.4,1420.5,2037.0,1101.0,1906.4,1714.4,1589.2,1253.1,1369.0,1851.3,2311.7,952.1,2168.2,1630.705,0.133,0.450,2.505,0.927,0.995,NA,NA
R7A2020_07150,0.067,0.079,0.034,0.024,0.041,0.06,0.081,0.02,0.034,0.043,NE,NE,NE,NE,NA,NE,NE,NE,GR-GD,E,homoserine dehydrogenase,NA,NA,thrA,E,homoserine dehydrogenase,R7A2020_07150,1457929,1459257,1329,1,TRUE,FALSE,FALSE,2261.6,1620.2,1504.2,2370.4,1613.9,266.3,981.1,1061.9,845.9,692.2,1261.2,646.6,1034.1,989.3,919.2,1439.0,1224.512,-0.341,0.622,9.724,0.205,0.634,NA,NA
R7A2020_07155,0.071,0.099,0.049,0.046,0.051,0.072,0.115,0.054,0.066,0.038,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha,K21416,"acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]",acoA,C,COG1071 Pyruvate 2-oxoglutarate dehydrogenase complex dehydrogenase (E1) component eukaryotic type alpha subunit,R7A2020_07155,1459260,1460288,1029,1,TRUE,FALSE,FALSE,1966.5,1527.6,1583.9,1031.2,1269.1,2298.3,1625.1,3210.2,1489.1,1814.0,1015.0,1512.2,552.5,1856.2,1062.6,1519.4,1586.306,0.452,0.541,5.911,0.550,0.871,NA,NA
R7A2020_07160,0.06,0.094,0.058,0.033,0.032,0.048,0.093,0.035,0.047,0.043,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,alpha-ketoacid dehydrogenase subunit beta,K21417,"acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta [EC:1.1.1.-]",acoB,C,"COG0022 Pyruvate 2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit",R7A2020_07160,1460288,1461286,999,1,TRUE,FALSE,FALSE,1349.6,1241.8,1317.3,1112.1,779.0,641.9,1156.3,1535.0,1431.1,821.6,674.7,1281.5,795.9,500.8,2464.2,1066.5,1138.877,-1.326,0.517,11.937,0.103,0.500,NA,NA
R7A2020_07165,0.061,0.1,0.054,0.043,0.047,0.075,0.113,0.055,0.052,0.049,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase,K00627,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],pdhC,C,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),R7A2020_07165,1461290,1462669,1380,1,TRUE,FALSE,FALSE,1675.7,1518.5,1448.0,1173.7,1945.0,451.1,1626.4,1148.6,1328.5,1527.1,1848.8,1263.6,1812.7,1204.7,2303.4,1958.0,1518.412,-0.844,0.530,3.290,0.857,0.974,NA,NA
R7A2020_07170,0.052,0.076,0.045,0.038,0.031,0.051,0.081,0.044,0.03,0.037,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ABC transporter substrate-binding protein,K02012,iron(III) transport system substrate-binding protein,NA,P,Extracellular solute-binding protein,R7A2020_07170,1462928,1463914,987,1,TRUE,FALSE,FALSE,854.1,1412.9,768.4,1260.6,664.7,758.2,699.3,439.9,863.5,1080.4,1745.5,655.0,342.7,890.3,441.1,906.5,864.068,0.064,0.629,6.303,0.505,0.845,NA,NA
R7A2020_07175,0.075,0.107,0.059,0.048,0.043,0.072,0.111,0.057,0.053,0.043,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_07175,1463983,1465684,1702,1,TRUE,FALSE,FALSE,2519.9,2738.2,2507.9,2637.2,3068.8,1982.3,2683.9,3921.0,3122.8,2311.7,2430.6,1385.8,2079.4,1843.9,2949.5,1792.9,2503.918,0.078,0.384,6.187,0.518,0.851,NA,NA
R7A2020_07180,0.056,0.088,0.046,0.036,0.041,0.046,0.081,0.039,0.039,0.032,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ABC transporter ATP-binding protein,NA,NA,potA,E,ABC transporter,R7A2020_07180,1465672,1466769,1098,1,TRUE,FALSE,FALSE,686.1,1081.8,1411.4,1177.3,737.7,851.6,539.9,907.7,1441.1,1541.9,492.4,957.2,1085.8,662.5,1376.4,1375.9,1023.082,-0.806,0.491,11.083,0.135,0.550,NA,NA
R7A2020_07185,0.028,0.062,0.033,0.022,0.026,0.033,0.056,0.024,0.02,0.016,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,DUF930 domain-containing protein,NA,NA,rnfB,M,Domain of Unknown Function (DUF930),R7A2020_07185,1466946,1468166,1221,1,TRUE,FALSE,FALSE,333.2,699.4,479.6,677.4,438.5,599.2,218.6,211.9,508.7,501.4,875.6,244.3,403.5,835.9,251.0,384.0,480.200,0.694,0.718,6.458,0.487,0.838,NA,NA
R7A2020_07190,0.008,0.077,0.038,0.015,0.031,0.015,0.038,0.015,0.023,0.015,INPUT-ES-RR,INPUT-ES,INPUT-ES,INPUT-ES,NA,NE,TB-ES,NE,NE,PSEUDO,pseudogene,NA,NA,NA,NA,NA,R7A2020_07190,1468235,1468386,152,-1,FALSE,FALSE,FALSE,4.2,3.0,60.1,3.6,29.2,7.9,7.9,52.5,88.3,135.3,12.8,51.6,81.1,269.8,1.2,33.7,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_07195,0.045,0.08,0.038,0.028,0.039,0.049,0.079,0.033,0.033,0.029,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,DUF930 domain-containing protein,NA,NA,rnfB,M,Domain of Unknown Function (DUF930),R7A2020_07195,1468552,1469613,1062,1,TRUE,FALSE,FALSE,1312.9,592.7,1007.6,776.4,592.4,496.8,387.2,976.2,765.1,542.1,336.8,927.7,1160.8,518.2,815.2,1537.4,799.263,-1.126,0.667,4.492,0.722,0.936,NA,NA
R7A2020_07200,0.056,0.082,0.048,0.037,0.041,0.058,0.102,0.046,0.051,0.039,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,HAD family phosphatase,NA,NA,MA20_23860,S,Hydrolase,R7A2020_07200,1469596,1470285,690,-1,TRUE,FALSE,FALSE,563.3,642.0,602.5,1066.2,1151.3,275.2,356.9,1746.9,1650.5,901.5,706.1,609.7,812.1,915.5,1760.1,404.1,886.673,-0.613,0.775,3.293,0.857,0.974,NA,NA
R7A2020_07205,0.022,0.049,0.015,0.016,0.015,0.018,0.035,0.013,0.013,0.011,NE,GIFU-GD,NFR5-GD,NE,NA,NE,NE,NE,NE,S,hypothetical protein,NA,NA,NA,S,"HAD-superfamily hydrolase subfamily IA, variant 3",R7A2020_07205,1470390,1471031,642,-1,FALSE,FALSE,FALSE,264.0,232.5,240.5,36.2,138.4,21.9,214.7,2.1,148.8,357.2,181.2,94.8,98.3,90.6,89.1,126.3,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_07210,0.053,0.083,0.051,0.037,0.037,0.056,0.086,0.04,0.043,0.035,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,transcriptional regulator,K02466,glucitol operon activator protein,gutM,K,Glucitol operon activator,R7A2020_07210,1471223,1471660,438,1,TRUE,FALSE,FALSE,440.5,235.5,224.8,402.1,515.9,791.9,206.8,407.8,254.8,186.4,216.0,665.5,358.9,432.2,851.7,384.0,411.674,0.069,0.761,6.775,0.453,0.822,NA,NA
R7A2020_07215,0.049,0.097,0.043,0.045,0.048,0.054,0.085,0.037,0.049,0.025,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,PTS beta-glucoside transporter subunit IIABC,K02783,glucitol/sorbitol PTS system EIIC component,srlA,G,PTS system glucitol sorbitol-specific,R7A2020_07215,1471710,1472471,762,1,TRUE,FALSE,FALSE,787.7,655.1,529.3,1004.7,835.8,980.7,899.5,761.1,527.2,371.2,200.9,589.7,1105.1,1383.9,1706.9,493.8,803.945,-0.290,0.643,10.550,0.160,0.583,NA,NA
