locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym,NSTB_ii,NSGR_ii,NSTY_ii,WTTB_ii,WTGR_ii,WTTY_ii,TY_state,GR_state,TB_state,NS_ii,WT_ii,ES_state,ICE_state
R7A2020_05345,NA,nuclear transport factor 2 family protein,NA,NA,NA,NA,NA,R7A2020_05345,1098949,1099383,435,-1,FALSE,0.040431267,0.026954178,0.016172507,0.067385445,0.032345013,0.043126685,NE,NE,NE,0.115902965,0.145552561,NE,NA
R7A2020_05350,P,carbonic anhydrase,K01673,carbonic anhydrase [EC:4.2.1.1],cynT,P,Reversible hydration of carbon dioxide,R7A2020_05350,1099380,1100024,645,-1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_05355,NA,DUF429 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF429),R7A2020_05355,1100172,1100963,792,-1,FALSE,0.068249258,0.06231454,0.048961424,0.077151335,0.056379822,0.069732938,NE,NE,NE,0.170623145,0.18694362,NE,NA
R7A2020_05360,NA,pyridoxal kinase PdxY,K00868,pyridoxine kinase [EC:2.7.1.35],pdxK,H,Belongs to the pyridoxine kinase family,pdxY,1100960,1101844,885,-1,FALSE,0.100929615,0.081009296,0.069057105,0.118193891,0.050464807,0.073041169,NE,NE,NE,0.231075697,0.224435591,NE,NA
R7A2020_05365,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_05365,1101858,1102109,252,-1,FALSE,0.106976744,0.046511628,0.051162791,0.097674419,0.060465116,0.055813953,NE,NE,NE,0.2,0.23255814,NE,NA
R7A2020_05370,NA,LemA family protein,K03744,LemA protein,lemA,S,LemA family,R7A2020_05370,1102273,1102911,639,1,FALSE,0.110091743,0.067889908,0.088073394,0.104587156,0.04587156,0.071559633,NE,NE,NE,0.231192661,0.218348624,NE,NA
R7A2020_05375,NA,YgcG family protein,K06872,uncharacterized protein,NA,S,COG1512 Beta-propeller domains of methanol dehydrogenase type,R7A2020_05375,1102960,1103754,795,1,FALSE,0.075332349,0.048744461,0.051698671,0.082717873,0.031019202,0.041358936,NE,NE,NE,0.196454948,0.156573117,NE,NA
R7A2020_05380,NA,YgcG family protein,K06872,uncharacterized protein,NA,S,COG1512 Beta-propeller domains of methanol dehydrogenase type,R7A2020_05380,1103759,1104646,888,1,FALSE,0.097883598,0.068783069,0.056878307,0.092592593,0.041005291,0.052910053,NE,NE,NE,0.205026455,0.182539683,NE,NA
R7A2020_05385,NA,TPM domain-containing protein,K08988,putative membrane protein,NA,S,membrane,R7A2020_05385,1104651,1105289,639,1,FALSE,0.106422018,0.088073394,0.073394495,0.117431193,0.066055046,0.067889908,NE,NE,NE,0.222018349,0.244036697,NE,NA
R7A2020_05390,K,GNAT family N-acetyltransferase,NA,NA,MA20_25245,K,FR47-like protein,R7A2020_05390,1105561,1106067,507,1,FALSE,0.032407407,0.016203704,0.023148148,0.039351852,0.016203704,0.027777778,NE,NE,NE,0.083333333,0.104166667,NE,NA
R7A2020_05395,C,inorganic diphosphatase,K01507,inorganic pyrophosphatase [EC:3.6.1.1],ppa,C,Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions,ppa,1106269,1106802,534,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_05400,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_05400,1106818,1107411,594,-1,FALSE,0.079051383,0.049407115,0.065217391,0.100790514,0.061264822,0.06916996,NE,NE,NE,0.193675889,0.217391304,NE,NA
R7A2020_05405,NA,TetR/AcrR family transcriptional regulator,NA,NA,NA,K,"Bacterial regulatory proteins, tetR family",R7A2020_05405,1107456,1108073,618,-1,FALSE,0.075901328,0.04743833,0.04743833,0.055028463,0.032258065,0.043643264,NE,NE,NE,0.172675522,0.132827324,NE,NA
R7A2020_05410,NA,MFS transporter,NA,NA,NA,EGP,Major facilitator Superfamily,R7A2020_05410,1108149,1109432,1284,1,FALSE,0.084249084,0.043956044,0.051282051,0.083333333,0.045787546,0.034798535,NE,NE,NE,0.184065934,0.174908425,NE,NA
R7A2020_05415,NA,alkaline phosphatase,K01113,alkaline phosphatase D [EC:3.1.3.1],phoD,P,COG3540 Phosphodiesterase alkaline phosphatase D,R7A2020_05415,1109578,1111152,1575,1,FALSE,0.065671642,0.060447761,0.05,0.064179104,0.041044776,0.055223881,NE,NE,NE,0.169402985,0.147014925,NE,NA
R7A2020_05420,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_05420,1111166,1111504,339,-1,FALSE,0.075862069,0.05862069,0.04137931,0.065517241,0.034482759,0.048275862,NE,NE,NE,0.162068966,0.127586207,NE,NA
R7A2020_05425,NA,translational GTPase TypA,K06207,GTP-binding protein,typA,T,GTP-binding protein TypA,typA,1111648,1113477,1830,1,FALSE,0.068766067,0.049485861,0.03277635,0.054627249,0.032133676,0.041773779,NE,NE,NE,0.157455013,0.146529563,NE,NA
R7A2020_05430,NA,DUF1062 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF1062),R7A2020_05430,1113538,1114164,627,-1,FALSE,0.104868914,0.035580524,0.052434457,0.06741573,0.029962547,0.028089888,NE,NE,NE,0.18164794,0.140449438,NE,NA
R7A2020_05435,P,acid phosphatase,K21302,phosphatidylinositol-3-phosphatase [EC:3.1.3.64],NA,P,Phosphoesterase family,R7A2020_05435,1114557,1115435,879,-1,FALSE,0.028037383,0.032042724,0.029372497,0.02670227,0.020026702,0.016021362,TY-GD,NE,NE,0.086782377,0.072096128,NE,NA
R7A2020_05440,NA,LysE family translocator,NA,NA,NA,E,Lysine exporter protein LysE YggA,R7A2020_05440,1115501,1116115,615,1,FALSE,0.103053435,0.049618321,0.051526718,0.091603053,0.047709924,0.061068702,NE,NE,NE,0.208015267,0.20610687,NE,NA
R7A2020_05445,NA,hypothetical protein,NA,NA,NA,S,YCII-related domain,R7A2020_05445,1116138,1116464,327,-1,FALSE,0.05734767,0.0609319,0.05734767,0.068100358,0.043010753,0.0609319,NE,NE,NE,0.168458781,0.182795699,NE,NA
R7A2020_05450,NA,peroxidase-related enzyme,NA,NA,NA,S,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity,R7A2020_05450,1116594,1117157,564,-1,FALSE,0.054166667,0.058333333,0.0625,0.060416667,0.045833333,0.077083333,NE,NE,NE,0.166666667,0.177083333,NE,NA
R7A2020_05455,NA,NAD-glutamate dehydrogenase,K15371,glutamate dehydrogenase [EC:1.4.1.2],gdhB,E,Dehydrogenase,R7A2020_05455,1117293,1122098,4806,1,FALSE,0.083700441,0.049926579,0.04576603,0.073666177,0.039158101,0.04968184,NE,NE,NE,0.184287812,0.159813999,NE,NA
R7A2020_05460,NA,MFS transporter,K06902,"MFS transporter, UMF1 family",MA20_25070,S,Major facilitator superfamily,R7A2020_05460,1122436,1123812,1377,1,FALSE,0.099829352,0.048634812,0.061433447,0.092150171,0.041808874,0.063139932,NE,NE,NE,0.179180887,0.201365188,NE,NA
R7A2020_05465,F,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,K00602,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],purH,F,Bifunctional purine biosynthesis protein PurH,purH,1123946,1125562,1617,-1,FALSE,0.074127907,0,0.029796512,0.074854651,0,0.042151163,NE,GR-ES,NE,0.135174419,0.150436047,NE,NA
R7A2020_05470,NA,pseudogene,NA,NA,NA,NA,NA,R7A2020_05470,1125711,1126018,308,1,FALSE,0.087452471,0.064638783,0.041825095,0.076045627,0.045627376,0.068441065,NE,NE,NE,0.171102662,0.171102662,NE,NA
R7A2020_05475,NA,heparinase,NA,NA,MA20_25080,S,PFAM Heparinase II,R7A2020_05475,1126046,1127770,1725,-1,FALSE,0.070211316,0.029993183,0.047716428,0.068847989,0.035446489,0.049079755,NE,NE,NE,0.154055896,0.152010907,NE,NA
R7A2020_05480,NA,RsmB/NOP family class I SAM-dependent RNA methyltransferase,K03500,16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176],rsmB,J,Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family,R7A2020_05480,1127977,1129365,1389,-1,FALSE,0.111675127,0.056683587,0.057529611,0.085448393,0.029610829,0.043993232,NE,NE,NE,0.217428088,0.156514382,NE,NA
R7A2020_05485,NA,zinc metalloprotease HtpX,K03799,heat shock protein HtpX [EC:3.4.24.-],htpX,O,Belongs to the peptidase M48B family,htpX,1129356,1130366,1011,-1,FALSE,0.06744186,0.043023256,0.045348837,0.08255814,0.031395349,0.045348837,NE,NE,NE,0.154651163,0.161627907,NE,NA
R7A2020_05490,NA,DUF1674 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF1674),R7A2020_05490,1130472,1130693,222,1,FALSE,0.063492063,0.031746032,0.031746032,0.063492063,0.031746032,0.021164021,NE,NE,NE,0.137566138,0.111111111,NE,NA
R7A2020_05495,NA,HAD-IA family hydrolase,K19270,mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50],yfbT,S,"TIGRFAM haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED",R7A2020_05495,1130754,1131419,666,-1,FALSE,0.093474427,0.059964727,0.065255732,0.11287478,0.052910053,0.061728395,NE,NE,NE,0.208112875,0.220458554,NE,NA
R7A2020_05500,NA,transglutaminase family protein,NA,NA,NA,E,Transglutaminase/protease-like homologues,R7A2020_05500,1131588,1132457,870,1,FALSE,0.093243243,0.064864865,0.066216216,0.097297297,0.040540541,0.060810811,NE,NE,NE,0.225675676,0.2,NE,NA
R7A2020_05505,NA,hypothetical protein,NA,NA,NA,U,Putative Flp pilus-assembly TadE/G-like,R7A2020_05505,1132772,1134205,1434,1,FALSE,0.063934426,0.045901639,0.046721311,0.063934426,0.036065574,0.047540984,NE,NE,NE,0.154918033,0.149180328,NE,NA
R7A2020_05510,NA,class I SAM-dependent methyltransferase,K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],NA,M,Mycolic acid cyclopropane synthetase,R7A2020_05510,1134595,1135863,1269,1,FALSE,0.039814815,0.039814815,0.044444444,0.056481481,0.035185185,0.051851852,NE,NE,NE,0.115740741,0.130555556,NE,NA
R7A2020_05515,NA,MOSC domain-containing protein,NA,NA,NA,S,MOSC domain containing protein,R7A2020_05515,1135864,1136613,750,-1,FALSE,0.047021944,0.043887147,0.042319749,0.048589342,0.026645768,0.043887147,NE,NE,NE,0.141065831,0.12539185,NE,NA
R7A2020_05520,NA,acetate--CoA ligase,K01895,acetyl-CoA synthetase [EC:6.2.1.1],acsA,I,"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA",acs,1136613,1138568,1956,-1,FALSE,0.099759615,0.063100962,0.070913462,0.092548077,0.049879808,0.069711538,NE,NE,NE,0.220552885,0.197115385,NE,NA
R7A2020_05525,NA,aspartate-semialdehyde dehydrogenase,NA,NA,usg,E,Usg-like family,R7A2020_05525,1138872,1139144,273,1,FALSE,0.055793991,0.034334764,0.042918455,0.034334764,0.042918455,0.055793991,NE,NE,NE,0.137339056,0.154506438,NE,NA
R7A2020_05530,NA,aldo/keto reductase,K23107,1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-],mocA,C,aldo keto reductase,R7A2020_05530,1139444,1140478,1035,-1,FALSE,0.080590238,0.062429058,0.069239501,0.071509648,0.043132804,0.065834279,NE,NE,NE,0.189557321,0.172531215,NE,NA
R7A2020_05535,NA,SGNH/GDSL hydrolase family protein,NA,NA,NA,E,GDSL-like Lipase/Acylhydrolase,R7A2020_05535,1140523,1141803,1281,-1,FALSE,0.08815427,0.069788797,0.065197429,0.083562902,0.048668503,0.063360882,NE,NE,NE,0.202020202,0.189164371,NE,NA
R7A2020_05540,NA,MFS transporter,K19577,"MFS transporter, DHA1 family, inner membrane transport protein",araJ,EGP,Major facilitator Superfamily,R7A2020_05540,1141865,1143058,1194,-1,FALSE,0.125984252,0.070866142,0.077755906,0.153543307,0.05019685,0.080708661,NE,NE,NE,0.239173228,0.284448819,NE,NA
R7A2020_05545,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_05545,1143184,1144089,906,1,FALSE,0.120622568,0.089494163,0.058365759,0.123216602,0.038910506,0.062256809,NE,NE,NE,0.252918288,0.224383917,NE,NA
R7A2020_05550,NA,hypothetical protein,K07054,uncharacterized protein,NA,S,Putative neutral zinc metallopeptidase,R7A2020_05550,1144216,1144932,717,1,FALSE,0.091653028,0.058919804,0.073649755,0.098199673,0.031096563,0.055646481,NE,NE,NE,0.20294599,0.1898527,NE,NA
R7A2020_05555,NA,aldo/keto reductase,K23107,1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-],NA,C,aldo keto reductase,R7A2020_05555,1145089,1146138,1050,-1,FALSE,0.100783875,0.073908175,0.06718925,0.1075028,0.043673012,0.06718925,NE,NE,NE,0.22956327,0.208286674,NE,NA
R7A2020_05560,S,YggS family pyridoxal phosphate-dependent enzyme,K06997,PLP dependent protein,yggS,S,"Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis",R7A2020_05560,1146249,1146911,663,-1,FALSE,0.067375887,0.060283688,0.044326241,0.086879433,0.05141844,0.070921986,NE,NE,NE,0.154255319,0.195035461,NE,NA
R7A2020_05565,J,leucine--tRNA ligase,K01869,leucyl-tRNA synthetase [EC:6.1.1.4],leuS,J,Belongs to the class-I aminoacyl-tRNA synthetase family,R7A2020_05565,1147068,1149695,2628,1,FALSE,4.47E-04,4.47E-04,0,0,0,0,TY-ES,GR-ES,TB-ES,8.95E-04,0,CORE-ES,NA
R7A2020_05570,HYP,hypothetical protein,K03643,LPS-assembly lipoprotein,NA,S,Lipopolysaccharide-assembly,R7A2020_05570,1149682,1150251,570,1,FALSE,0.002061856,0,0,0.002061856,0,0,TY-ES,GR-ES,TB-ES,0.004123711,0.004123711,CORE-ES,NA
R7A2020_05575,NA,DNA translocase FtsK,K03466,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",ftsK,D,Belongs to the FtsK SpoIIIE SftA family,R7A2020_05575,1150499,1153084,2586,1,FALSE,0.094588449,0.063665302,0.068212824,0.079581628,0.056389268,0.060936789,NE,NE,NE,0.221464302,0.188267394,NE,NA
R7A2020_05580,NA,fructose-6-phosphate aldolase,K00616,transaldolase [EC:2.2.1.2],tal,G,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway,fsa,1153173,1153829,657,-1,FALSE,0.128571429,0.067857143,0.069642857,0.110714286,0.058928571,0.058928571,NE,NE,NE,0.251785714,0.203571429,NE,NA
R7A2020_05585,L,primosomal protein N',K04066,primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-],priA,L,"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA",R7A2020_05585,1153920,1156103,2184,1,FALSE,5.39E-04,0,0,5.39E-04,0,5.39E-04,TY-ES,GR-ES,TB-ES,0.001077006,0.001615509,CORE-ES,NA
R7A2020_05590,NA,aspartate/glutamate racemase family protein,K01779,aspartate racemase [EC:5.1.1.13],NA,M,aspartate racemase,R7A2020_05590,1156154,1156849,696,1,FALSE,0.114671164,0.062394604,0.087689713,0.091062395,0.047217538,0.067453626,NE,NE,NE,0.224283305,0.202360877,NE,NA
R7A2020_05595,NA,DUF4345 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4345),R7A2020_05595,1157027,1157422,396,1,FALSE,0.073964497,0.056213018,0.038461538,0.068047337,0.044378698,0.071005917,NE,NE,NE,0.144970414,0.147928994,NE,NA
R7A2020_05600,C,F0F1 ATP synthase subunit delta,K02113,F-type H+-transporting ATPase subunit delta,atpH,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",R7A2020_05600,1157669,1158229,561,1,FALSE,0.002096436,0,0,0.004192872,0.004192872,0,TY-ES,GR-ES,TB-ES,0.004192872,0.008385744,CORE-ES,NA
R7A2020_05605,C,F0F1 ATP synthase subunit alpha,K02111,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],atpA,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,R7A2020_05605,1158229,1159758,1530,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_05610,C,F0F1 ATP synthase subunit gamma,K02115,F-type H+-transporting ATPase subunit gamma,atpG,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,R7A2020_05610,1159791,1160675,885,1,FALSE,0,0,0,0,0,0.001328021,TY-ES,GR-ES,TB-ES,0.001328021,0.001328021,CORE-ES,NA
R7A2020_05615,C,F0F1 ATP synthase subunit beta,K02133,F-type H+-transporting ATPase subunit beta [EC:7.1.2.2],atpD,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,atpD,1160746,1162326,1581,1,FALSE,0,0,0,7.44E-04,0,0,TY-ES,GR-ES,TB-ES,7.44E-04,7.44E-04,CORE-ES,NA
R7A2020_05620,C,F0F1 ATP synthase subunit epsilon,K02114,F-type H+-transporting ATPase subunit epsilon,atpC,C,Produces ATP from ADP in the presence of a proton gradient across the membrane,R7A2020_05620,1162426,1162833,408,1,FALSE,0.020114943,0.00862069,0.011494253,0.014367816,0.002873563,0.002873563,TY-ES,GR-ES,TB-GD,0.045977011,0.034482759,GD,NA
R7A2020_05625,NA,mannitol dehydrogenase family protein,K00040,fructuronate reductase [EC:1.1.1.57],uxuB,G,Mannitol dehydrogenase,R7A2020_05625,1162886,1164385,1500,-1,FALSE,0.09254902,0.051764706,0.058039216,0.07372549,0.044705882,0.051764706,NE,NE,NE,0.188235294,0.174117647,NE,NA
R7A2020_05630,NA,pseudogene,NA,NA,NA,NA,NA,uxaC,1164524,1165932,1409,1,FALSE,0.080066722,0.048373645,0.050041701,0.083402836,0.039199333,0.05087573,NE,NE,NE,0.17764804,0.180150125,NE,NA
R7A2020_05635,NA,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,K00065,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],NA,IQ,2-deoxy-D-gluconate 3-dehydrogenase,kduD,1165990,1166766,777,1,FALSE,0.084592145,0.055891239,0.048338369,0.090634441,0.043806647,0.049848943,NE,NE,NE,0.1918429,0.185800604,NE,NA
R7A2020_05640,NA,cupin domain-containing protein,NA,NA,kdgF,S,Cupin domain,R7A2020_05640,1166778,1167137,360,1,FALSE,0.065359477,0.032679739,0.052287582,0.065359477,0.022875817,0.04248366,NE,NE,NE,0.147058824,0.120915033,NE,NA
R7A2020_05645,NA,coniferyl aldehyde dehydrogenase,K00154,coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],calB,C,Belongs to the aldehyde dehydrogenase family,R7A2020_05645,1167371,1168792,1422,-1,FALSE,0.068651778,0.044665012,0.043837883,0.075268817,0.040529363,0.053763441,NE,NE,NE,0.157981803,0.17783292,NE,NA
R7A2020_05650,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_05650,1169135,1169812,678,1,FALSE,0,0,0.001730104,0,0,0.001730104,TY-ES,GR-ES,TB-ES,0.003460208,0.001730104,CORE-ES,NA
R7A2020_05655,NA,DNA helicase RecQ,K03654,ATP-dependent DNA helicase RecQ [EC:3.6.4.12],recQ,L,DNA helicase,recQ,1170172,1172007,1836,1,FALSE,0.084507042,0.060179257,0.058898848,0.062099872,0.04609475,0.060819462,NE,NE,NE,0.203585147,0.16709347,NE,NA
R7A2020_05660,NA,adenylate/guanylate cyclase domain-containing protein,NA,NA,NA,T,Adenylate cyclase,R7A2020_05660,1172439,1174184,1746,1,FALSE,0.094276094,0.082154882,0.059259259,0.101683502,0.054545455,0.079461279,NE,NE,NE,0.218855219,0.223569024,NE,NA
R7A2020_05665,J,NA,NA,NA,NA,NA,NA,R7A2020_05665,1174346,1174435,90,-1,FALSE,0,0,0,0.012987013,0,0.025974026,NS-TY-ES,GR-ES,TB-ES,0,0.038961039,CORE-ES,NA
R7A2020_05670,NA,50S ribosomal protein L21,K02888,large subunit ribosomal protein L21,rplU,J,This protein binds to 23S rRNA in the presence of protein L20,R7A2020_05670,1174851,1175522,672,1,FALSE,0.043706294,0.017482517,0.020979021,0.055944056,0.020979021,0.024475524,NE,NE,NE,0.090909091,0.117132867,NE,NA
R7A2020_05675,J,50S ribosomal protein L27,K02899,large subunit ribosomal protein L27,rpmA,J,Belongs to the bacterial ribosomal protein bL27 family,rpmA,1175621,1175890,270,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_05680,NA,GNAT family N-acetyltransferase,K03790,[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267],MA20_44020,J,Acetyltransferase (GNAT) domain,R7A2020_05680,1176009,1176596,588,1,FALSE,0.111776447,0.075848303,0.057884232,0.121756487,0.05988024,0.071856287,NE,NE,NE,0.231536926,0.231536926,NE,NA
R7A2020_05685,NA,GNAT family N-acetyltransferase,NA,NA,yokL,K,#NAME?,R7A2020_05685,1176633,1177166,534,1,FALSE,0.103296703,0.057142857,0.057142857,0.096703297,0.032967033,0.046153846,NE,NE,NE,0.224175824,0.178021978,NE,NA
R7A2020_05690,NA,endonuclease/exonuclease/phosphatase family protein,NA,NA,NA,L,Endonuclease Exonuclease phosphatase,R7A2020_05690,1177173,1178042,870,-1,FALSE,0.060810811,0.041891892,0.040540541,0.063513514,0.02972973,0.052702703,NE,NE,NE,0.145945946,0.145945946,NE,NA
R7A2020_05695,D,GTPase ObgE,K03979,GTPase [EC:3.6.5.-],obg,S,"An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control",obgE,1178175,1179206,1032,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0.001138952,0,CORE-ES,NA
R7A2020_05700,E,glutamate 5-kinase,K00931,glutamate 5-kinase [EC:2.7.2.11],proB,E,Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate,R7A2020_05700,1179211,1180347,1137,1,FALSE,0.021694215,0.001033058,0.051652893,0.010330579,0,0.055785124,NE,GR-ES,TB-GD,0.08161157,0.071280992,NE,NA
R7A2020_05705,E,glutamate-5-semialdehyde dehydrogenase,K00147,glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],proA,E,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,R7A2020_05705,1180351,1181637,1287,1,FALSE,0.024657534,0,0.029223744,0.016438356,9.13E-04,0.049315068,NE,GR-ES,NE,0.070319635,0.072146119,NE,NA
R7A2020_05710,H,nicotinate-nucleotide adenylyltransferase,K00969,nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18],nadD,H,Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD),R7A2020_05710,1181840,1182472,633,1,FALSE,0.001855288,0,0,0.003710575,0,0,TY-ES,GR-ES,TB-ES,0.003710575,0.005565863,CORE-ES,NA
R7A2020_05715,NA,MFS transporter,NA,NA,ycaD,EGP,Major Facilitator Superfamily,R7A2020_05715,1182568,1183866,1299,1,FALSE,0.107594937,0.072332731,0.066907776,0.103074141,0.059674503,0.066003617,NE,NE,NE,0.236889693,0.212477396,NE,NA
R7A2020_05720,NA,mechanosensitive ion channel,K03442,small conductance mechanosensitive channel,mscS,M,Mechanosensitive ion channel,R7A2020_05720,1183923,1184774,852,-1,FALSE,0.074482759,0.052413793,0.04,0.060689655,0.033103448,0.062068966,NE,NE,NE,0.165517241,0.155862069,NE,NA
R7A2020_05725,NA,ribosome silencing factor,K09710,ribosome-associated protein,rsfS,J,"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation",rsfS,1185018,1185395,378,1,FALSE,0.083591331,0.034055728,0.061919505,0.099071207,0.030959752,0.043343653,NE,NE,NE,0.154798762,0.154798762,NE,NA
R7A2020_05730,NA,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,K00783,23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177],rlmH,J,Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA,rlmH,1185481,1185963,483,1,FALSE,0.128953771,0.063260341,0.065693431,0.116788321,0.03892944,0.053527981,NE,NE,NE,0.238442822,0.187347932,NE,NA
R7A2020_05735,M,murein hydrolase activator EnvC,K22719,murein hydrolase activator,filA,D,Peptidase family M23,R7A2020_05735,1186170,1187540,1371,1,FALSE,0.013722127,0.002572899,0.034305317,0.003430532,0.006003431,0.030017153,NE,GR-ES,TB-ES,0.051457976,0.042881647,GD,NA
R7A2020_05740,M,S41 family peptidase,K03797,carboxyl-terminal processing protease [EC:3.4.21.102],ctpA,M,Belongs to the peptidase S41A family,R7A2020_05740,1187542,1188873,1332,1,FALSE,0,0.084730803,0.001765225,0,0.061782877,0,TY-ES,NE,TB-ES,0.085613416,0.06266549,NE,NA
R7A2020_05745,NA,divergent polysaccharide deacetylase family protein,K09798,uncharacterized protein,yibQ,S,Divergent polysaccharide deacetylase,R7A2020_05745,1189054,1190235,1182,1,FALSE,0.098507463,0.089552239,0.08159204,0.113432836,0.043781095,0.063681592,NE,NE,NE,0.229850746,0.199004975,NE,NA
R7A2020_05750,NA,RNA pyrophosphohydrolase,K08311,putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-],nudH,L,"Accelerates the degradation of transcripts by removing pyrophosphate from the 5'-end of triphosphorylated RNA, leading to a more labile monophosphorylated state that can stimulate subsequent ribonuclease cleavage",R7A2020_05750,1190273,1190794,522,1,FALSE,0.081081081,0.076576577,0.056306306,0.085585586,0.045045045,0.060810811,NE,NE,NE,0.182432432,0.168918919,NE,NA
R7A2020_05755,NA,alanine racemase,K01775,alanine racemase [EC:5.1.1.1],alr,E,Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids,alr,1190858,1192003,1146,1,FALSE,0.09025641,0.058461538,0.068717949,0.095384615,0.052307692,0.064615385,NE,NE,NE,0.217435897,0.208205128,NE,NA
